in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9187359809875488, max_false: 0.8868109583854675, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8436933159828186, max_false: 0.7374396324157715, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378352761268616, max_false: 0.8996880054473877, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.877125084400177, max_false: 0.8277601599693298, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8231081366539001, max_false: 0.777599573135376, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8469119071960449, max_false: 0.8505086898803711, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9470916390419006, max_false: 0.9099040627479553, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9001439809799194, max_false: 0.8781818151473999, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.915733814239502, max_false: 0.9038496613502502, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9172642230987549, max_false: 0.8962526917457581, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.859163224697113, max_false: 0.854581356048584, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8737062215805054, max_false: 0.843116819858551, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7936887741088867, max_false: 0.8098471164703369, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8800775408744812, max_false: 0.8865674734115601, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8672651648521423, max_false: 0.8480135798454285, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9038128852844238, max_false: 0.9068925380706787, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9240660071372986, max_false: 0.8954172134399414, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9240422248840332, max_false: 0.8648002743721008, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9500727653503418, max_false: 0.8815920352935791, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9225519299507141, max_false: 0.8942974805831909, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8789020776748657, max_false: 0.8376670479774475, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9397649168968201, max_false: 0.8932087421417236, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9157741665840149, max_false: 0.8763532042503357, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.931185781955719, max_false: 0.8487383127212524, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9052966833114624, max_false: 0.8251500725746155, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8800137042999268, max_false: 0.8188440799713135, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9410181641578674, max_false: 0.9355137944221497, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9085042476654053, max_false: 0.8919644355773926, correct: True
