experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9208077192306519, max_false: 0.8886494636535645, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8498396873474121, max_false: 0.7475505471229553, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.938416600227356, max_false: 0.8993291258811951, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8761222958564758, max_false: 0.8283793330192566, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8253160715103149, max_false: 0.7793329954147339, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8432043194770813, max_false: 0.8493980169296265, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9456247687339783, max_false: 0.9121369123458862, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9021457433700562, max_false: 0.8820059895515442, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9131656289100647, max_false: 0.902987003326416, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9154714345932007, max_false: 0.8939584493637085, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8620730042457581, max_false: 0.858145534992218, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8757095336914062, max_false: 0.8473049402236938, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7925180196762085, max_false: 0.8077566027641296, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8863680958747864, max_false: 0.8924837112426758, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8686474561691284, max_false: 0.8518198728561401, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9058471918106079, max_false: 0.9071270227432251, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.925258457660675, max_false: 0.898818850517273, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9248853921890259, max_false: 0.8726564645767212, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9489261507987976, max_false: 0.883069634437561, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9255515336990356, max_false: 0.8892154693603516, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8755288124084473, max_false: 0.8294568061828613, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9398309588432312, max_false: 0.8916122913360596, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145371913909912, max_false: 0.8776234984397888, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9295141100883484, max_false: 0.8433545827865601, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9037253856658936, max_false: 0.8280193209648132, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8795680403709412, max_false: 0.8253365755081177, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9406032562255859, max_false: 0.9359091520309448, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.911382257938385, max_false: 0.8935903310775757, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9241549968719482, max_false: 0.9046711921691895, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.822723388671875, max_false: 0.7880284786224365, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9312211275100708, max_false: 0.8873116374015808, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.943976879119873, max_false: 0.9187203645706177, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9449540972709656, max_false: 0.9167501926422119, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7737771272659302, max_false: 0.79384845495224, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9254465699195862, max_false: 0.9116131663322449, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9062581062316895, max_false: 0.9008244276046753, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9147480726242065, max_false: 0.9009726643562317, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8989418745040894, max_false: 0.9038994908332825, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9386345148086548, max_false: 0.934694766998291, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8928354382514954, max_false: 0.8527320623397827, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8757143616676331, max_false: 0.8578992486000061, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.874061644077301, max_false: 0.8618907928466797, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9170117974281311, max_false: 0.9006611108779907, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9326257109642029, max_false: 0.9433767795562744, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9093811511993408, max_false: 0.8751283288002014, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9272737503051758, max_false: 0.9304477572441101, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9051008224487305, max_false: 0.897153913974762, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8260010480880737, max_false: 0.8156070709228516, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9186286330223083, max_false: 0.8309314846992493, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9151979684829712, max_false: 0.862788736820221, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8477630019187927, max_false: 0.8133113384246826, correct: True
