experiment run details:
  dataset: hoi
  model: phi hoi postfix
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9461894631385803, max_false: 0.9501699805259705, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.953254759311676, max_false: 0.9060899019241333, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9470102190971375, max_false: 0.9476233124732971, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9312226176261902, max_false: 0.9020668268203735, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.900081217288971, max_false: 0.8947200775146484, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8977349996566772, max_false: 0.8959560990333557, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9510663151741028, max_false: 0.9499920606613159, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9399316310882568, max_false: 0.9236072897911072, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9408038854598999, max_false: 0.9535651803016663, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9423250555992126, max_false: 0.9179320931434631, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8985121846199036, max_false: 0.906888484954834, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9248982667922974, max_false: 0.8957589864730835, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8519662618637085, max_false: 0.8735017776489258, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.931799054145813, max_false: 0.9353659152984619, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9145452380180359, max_false: 0.9062169790267944, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9463850259780884, max_false: 0.9472935795783997, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9494298100471497, max_false: 0.9251470565795898, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9484161734580994, max_false: 0.8987479209899902, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9663274884223938, max_false: 0.9421509504318237, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9615102410316467, max_false: 0.9298056364059448, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9131903648376465, max_false: 0.9125975370407104, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9635826945304871, max_false: 0.935093879699707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9120290279388428, max_false: 0.9114512205123901, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9696499109268188, max_false: 0.9340831637382507, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9292846322059631, max_false: 0.9222725629806519, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9273943901062012, max_false: 0.9059538841247559, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9507608413696289, max_false: 0.9646238088607788, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9571730494499207, max_false: 0.9343630075454712, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9345317482948303, max_false: 0.9304525256156921, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9103361964225769, max_false: 0.8983906507492065, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9383312463760376, max_false: 0.9340466260910034, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9623737335205078, max_false: 0.9295441508293152, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9492127895355225, max_false: 0.9612064957618713, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9250582456588745, max_false: 0.9136340618133545, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9480359554290771, max_false: 0.9640347957611084, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9501785635948181, max_false: 0.9301284551620483, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9441720843315125, max_false: 0.9576985836029053, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9594341516494751, max_false: 0.9466633200645447, correct: True
