experiment run details:
  dataset: hoi
  model: phi hoi postfix
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9186535477638245, max_false: 0.8879888653755188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8425743579864502, max_false: 0.7378364205360413, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9380223751068115, max_false: 0.8999488353729248, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8793273568153381, max_false: 0.8310734629631042, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8257112503051758, max_false: 0.7820192575454712, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8477010726928711, max_false: 0.8520796298980713, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9479659795761108, max_false: 0.9107040762901306, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8995840549468994, max_false: 0.8776034712791443, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9165596961975098, max_false: 0.9052312970161438, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9172706604003906, max_false: 0.8965052366256714, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8587625622749329, max_false: 0.8537250757217407, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8753368854522705, max_false: 0.8441280722618103, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.796387791633606, max_false: 0.8115630745887756, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8821555376052856, max_false: 0.8857579827308655, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8652411103248596, max_false: 0.8470609188079834, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9029325246810913, max_false: 0.9082289934158325, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9232557415962219, max_false: 0.8963854312896729, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9239159822463989, max_false: 0.8658576011657715, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9503641724586487, max_false: 0.8813751935958862, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9222308993339539, max_false: 0.8968095779418945, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8799061179161072, max_false: 0.8389834761619568, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9392428398132324, max_false: 0.894036591053009, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9157772064208984, max_false: 0.8777675032615662, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9324021935462952, max_false: 0.8557447195053101, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9052409529685974, max_false: 0.8274189233779907, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8805638551712036, max_false: 0.8205606937408447, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9410597085952759, max_false: 0.9360766410827637, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9074862599372864, max_false: 0.8908116817474365, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9216391444206238, max_false: 0.9087024927139282, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.817476749420166, max_false: 0.7872156500816345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9289588928222656, max_false: 0.8832104206085205, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9426329135894775, max_false: 0.9148116111755371, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.941315770149231, max_false: 0.9151626229286194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7702613472938538, max_false: 0.7919740676879883, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.923966646194458, max_false: 0.9113309383392334, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9061914682388306, max_false: 0.8998154401779175, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9119884967803955, max_false: 0.8978390693664551, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.89836186170578, max_false: 0.9051792025566101, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9403207898139954, max_false: 0.9365149736404419, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8944301009178162, max_false: 0.853062093257904, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8713325262069702, max_false: 0.8539126515388489, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8725436925888062, max_false: 0.8608037233352661, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9152490496635437, max_false: 0.8968123197555542, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9321539402008057, max_false: 0.9428385496139526, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.90785151720047, max_false: 0.8747036457061768, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.925288200378418, max_false: 0.9313696026802063, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9030470848083496, max_false: 0.8945728540420532, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8250861167907715, max_false: 0.8149145841598511, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9213166832923889, max_false: 0.8336236476898193, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9130959510803223, max_false: 0.861454427242279, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8453187942504883, max_false: 0.810966968536377, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8929162621498108, max_false: 0.9320518374443054, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9653061628341675, max_false: 0.9080201387405396, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8656192421913147, max_false: 0.8167611956596375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9227852821350098, max_false: 0.9196172952651978, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8726343512535095, max_false: 0.8581324815750122, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8959865570068359, max_false: 0.8620572686195374, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.846415638923645, max_false: 0.8600099682807922, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8897085785865784, max_false: 0.8774822950363159, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9303925037384033, max_false: 0.9384649991989136, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8121129274368286, max_false: 0.8472025394439697, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9475724697113037, max_false: 0.8106216788291931, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9320281147956848, max_false: 0.9196063280105591, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9161823987960815, max_false: 0.9058204889297485, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8810452222824097, max_false: 0.9116740822792053, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8971217274665833, max_false: 0.8814140558242798, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145668745040894, max_false: 0.8993083238601685, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8510174751281738, max_false: 0.8845115303993225, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9101355075836182, max_false: 0.9017384052276611, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.794685423374176, max_false: 0.8272353410720825, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9162500500679016, max_false: 0.9049032926559448, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9189406633377075, max_false: 0.8841314911842346, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.908783495426178, max_false: 0.8893095850944519, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342942237854004, max_false: 0.9331365823745728, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.895297646522522, max_false: 0.8911962509155273, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8936469554901123, max_false: 0.8461889028549194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9171604514122009, max_false: 0.9198196530342102, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9415103793144226, max_false: 0.9228864908218384, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8544502854347229, max_false: 0.8004637956619263, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8392373323440552, max_false: 0.9011902213096619, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9307631254196167, max_false: 0.8509474992752075, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9003276228904724, max_false: 0.8918919563293457, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8904457688331604, max_false: 0.8895414471626282, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8947675228118896, max_false: 0.8758882284164429, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9166063666343689, max_false: 0.9007982611656189, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9231987595558167, max_false: 0.8507080078125, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.926661491394043, max_false: 0.8679183125495911, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8479188680648804, max_false: 0.7928027510643005, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9043439030647278, max_false: 0.883945107460022, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.881122350692749, max_false: 0.8930999040603638, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9287119507789612, max_false: 0.8843173384666443, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9220661520957947, max_false: 0.9167650938034058, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.934523344039917, max_false: 0.9120994806289673, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9245321154594421, max_false: 0.8943411707878113, correct: True
