experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8107078671455383, max_false: 0.8836362957954407, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9068017601966858, max_false: 0.6954597234725952, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8681498169898987, max_false: 0.8921411633491516, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8730978965759277, max_false: 0.7812204360961914, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8856387138366699, max_false: 0.6005392074584961, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8128294944763184, max_false: 0.7355453372001648, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.943008542060852, max_false: 0.6129915118217468, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.893714189529419, max_false: 0.5553579926490784, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9091156125068665, max_false: 0.7987573742866516, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.898697018623352, max_false: 0.7642900943756104, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7789125442504883, max_false: 0.8243453502655029, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7974106669425964, max_false: 0.808637797832489, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6646754145622253, max_false: 0.8036668300628662, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7813119888305664, max_false: 0.8839064836502075, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8849999904632568, max_false: 0.6442391276359558, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.874367892742157, max_false: 0.8745227456092834, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9104845523834229, max_false: 0.789652407169342, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9094983339309692, max_false: 0.7272353768348694, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9452453255653381, max_false: 0.7799253463745117, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9315808415412903, max_false: 0.7655530571937561, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8650757074356079, max_false: 0.8180242776870728, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9258455634117126, max_false: 0.8387184143066406, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9019447565078735, max_false: 0.7887909412384033, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9349136352539062, max_false: 0.8370689153671265, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8948359489440918, max_false: 0.8246840834617615, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8437334895133972, max_false: 0.8441951870918274, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8609209656715393, max_false: 0.8993499875068665, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8869514465332031, max_false: 0.8598520755767822, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.925702691078186, max_false: 0.7208719253540039, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8399138450622559, max_false: 0.750700056552887, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8834962844848633, max_false: 0.6471084952354431, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.920333743095398, max_false: 0.823094367980957, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9102649092674255, max_false: 0.866787850856781, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.794917106628418, max_false: 0.8594458699226379, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8929248452186584, max_false: 0.8495877385139465, correct: True
