experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8780421018600464, max_false: 0.8591049909591675, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.869837760925293, max_false: 0.8222313523292542, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9040524959564209, max_false: 0.870034396648407, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8347898721694946, max_false: 0.8594945669174194, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8696622252464294, max_false: 0.5258959531784058, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7708547711372375, max_false: 0.8324277997016907, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9429855346679688, max_false: 0.617779552936554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8958367705345154, max_false: 0.6696096062660217, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9078558683395386, max_false: 0.7660728693008423, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9015966653823853, max_false: 0.8342424631118774, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8667145371437073, max_false: 0.7486730217933655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7113561034202576, max_false: 0.8684104084968567, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7321377992630005, max_false: 0.7903171181678772, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7315691709518433, max_false: 0.9183968305587769, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8441293835639954, max_false: 0.5893343687057495, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.758767306804657, max_false: 0.9165542721748352, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9305340051651001, max_false: 0.7592931389808655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8714301586151123, max_false: 0.8285629749298096, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9464245438575745, max_false: 0.7297495603561401, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9170893430709839, max_false: 0.8519434332847595, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.872002363204956, max_false: 0.7342368960380554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.907691478729248, max_false: 0.8853431344032288, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9057211875915527, max_false: 0.7579042315483093, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9071099758148193, max_false: 0.8976579904556274, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.899665117263794, max_false: 0.7979207038879395, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8017830848693848, max_false: 0.8690681457519531, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.916562557220459, max_false: 0.891525387763977, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.887435257434845, max_false: 0.8923227190971375, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.922805666923523, max_false: 0.686815083026886, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8124141097068787, max_false: 0.8228304386138916, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8724111318588257, max_false: 0.6818469166755676, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9053136110305786, max_false: 0.8678060173988342, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9180723428726196, max_false: 0.766849935054779, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7912560105323792, max_false: 0.8698626756668091, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9144629240036011, max_false: 0.7995722889900208, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8106613755226135, max_false: 0.8998497128486633, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9087570309638977, max_false: 0.8319203853607178, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7150739431381226, max_false: 0.9088344573974609, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9237422943115234, max_false: 0.7892967462539673, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8840965628623962, max_false: 0.8341935873031616, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9131995439529419, max_false: 0.8129352331161499, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7727097868919373, max_false: 0.8827294111251831, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8680270910263062, max_false: 0.8551875352859497, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8249596953392029, max_false: 0.9351328015327454, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8900257349014282, max_false: 0.7917307019233704, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6436672806739807, max_false: 0.8316971659660339, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9100286960601807, max_false: 0.6728716492652893, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.838452935218811, max_false: 0.7901780009269714, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9237208962440491, max_false: 0.7142328023910522, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.771052896976471, max_false: 0.8879221081733704, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8918127417564392, max_false: 0.7720781564712524, correct: True
