experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6880331039428711, max_false: 0.69493168592453, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7635244727134705, max_false: 0.3608037829399109, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8042768239974976, max_false: 0.8238454461097717, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7725722789764404, max_false: 0.38065916299819946, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7769273519515991, max_false: 0.40212467312812805, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6268115043640137, max_false: 0.6094889044761658, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9048200249671936, max_false: 0.6245333552360535, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5941559076309204, max_false: 0.35146763920783997, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8154663443565369, max_false: 0.7375531196594238, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7200459241867065, max_false: 0.42737963795661926, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5793587565422058, max_false: 0.7381237149238586, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7101513147354126, max_false: 0.6827096343040466, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6508771777153015, max_false: 0.49361732602119446, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5934048295021057, max_false: 0.8125284910202026, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8087746500968933, max_false: 0.3336966335773468, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7452123761177063, max_false: 0.6178870797157288, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8978818655014038, max_false: 0.5982185006141663, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8598572015762329, max_false: 0.47974005341529846, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8898777365684509, max_false: 0.4714217483997345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.766658365726471, max_false: 0.3172054588794708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6454207897186279, max_false: 0.6662713289260864, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.87694251537323, max_false: 0.6831927299499512, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6555489897727966, max_false: 0.6920132040977478, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8381824493408203, max_false: 0.39451971650123596, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7842990756034851, max_false: 0.7054232358932495, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7526315450668335, max_false: 0.4338231384754181, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8415908217430115, max_false: 0.6828604340553284, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7255846858024597, max_false: 0.5618868470191956, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8816731572151184, max_false: 0.5423648357391357, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6919517517089844, max_false: 0.41134724020957947, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.848555326461792, max_false: 0.5986760854721069, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8232153058052063, max_false: 0.4005734324455261, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7445996403694153, max_false: 0.6542408466339111, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7699123024940491, max_false: 0.7243353724479675, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8201072812080383, max_false: 0.6726884245872498, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.661810576915741, max_false: 0.6580686569213867, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6445714235305786, max_false: 0.6327309608459473, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7532975077629089, max_false: 0.8035470843315125, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9137493371963501, max_false: 0.6987236142158508, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8100928664207458, max_false: 0.5872107744216919, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7648597359657288, max_false: 0.7328888177871704, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7612555623054504, max_false: 0.6458792090415955, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5891633033752441, max_false: 0.7292637825012207, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7714296579360962, max_false: 0.776300311088562, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6610165238380432, max_false: 0.655191957950592, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7902055978775024, max_false: 0.6934057474136353, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8400366902351379, max_false: 0.679711103439331, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6023926138877869, max_false: 0.4147108495235443, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7947601675987244, max_false: 0.7300519943237305, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8127112984657288, max_false: 0.44304025173187256, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7196767330169678, max_false: 0.6610915064811707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7032123804092407, max_false: 0.663296103477478, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8461976051330566, max_false: 0.7162917852401733, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7965675592422485, max_false: 0.4966732859611511, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6892616748809814, max_false: 0.7404749393463135, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6992589831352234, max_false: 0.5458117723464966, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7908034920692444, max_false: 0.6478906869888306, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6896481513977051, max_false: 0.4646088480949402, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.613913893699646, max_false: 0.7140396237373352, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.828037440776825, max_false: 0.682379961013794, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.5408626198768616, max_false: 0.6409240365028381, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8695691227912903, max_false: 0.5370978116989136, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8190785646438599, max_false: 0.7803143262863159, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8121116161346436, max_false: 0.7944679260253906, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7673366665840149, max_false: 0.7704944610595703, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6079309582710266, max_false: 0.4167465567588806, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.871406614780426, max_false: 0.4915720522403717, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8021620512008667, max_false: 0.2631304860115051, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4249744117259979, max_false: 0.8663007616996765, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.48903098702430725, max_false: 0.5126513838768005, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8798134326934814, max_false: 0.7548267841339111, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8241061568260193, max_false: 0.7217971682548523, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7252292633056641, max_false: 0.7981601357460022, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.824537456035614, max_false: 0.6387156844139099, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6544079780578613, max_false: 0.749845027923584, correct: False
