experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7135502099990845, max_false: 0.6991304755210876, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7599588632583618, max_false: 0.4363299608230591, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8241228461265564, max_false: 0.8306657671928406, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7721452116966248, max_false: 0.3925049602985382, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7587432861328125, max_false: 0.42702940106391907, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6466336250305176, max_false: 0.6207195520401001, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8942147493362427, max_false: 0.6603464484214783, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5856359004974365, max_false: 0.3991103172302246, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8288662433624268, max_false: 0.7720884084701538, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7163885235786438, max_false: 0.46371185779571533, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6308650970458984, max_false: 0.7490718364715576, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7190935015678406, max_false: 0.7346259951591492, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6554417014122009, max_false: 0.49288880825042725, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6079469323158264, max_false: 0.8300595879554749, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7785220742225647, max_false: 0.3539106547832489, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7726269364356995, max_false: 0.6512870788574219, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9014298915863037, max_false: 0.6036960482597351, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8675360679626465, max_false: 0.508598804473877, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8876060247421265, max_false: 0.4743160903453827, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7885076999664307, max_false: 0.3246507942676544, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6910154819488525, max_false: 0.6763853430747986, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8940755128860474, max_false: 0.7251231670379639, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6751837134361267, max_false: 0.6669661998748779, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8047827482223511, max_false: 0.4126124382019043, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7921218276023865, max_false: 0.7096375823020935, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7490227818489075, max_false: 0.45469382405281067, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8167250156402588, max_false: 0.6745927929878235, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7189339399337769, max_false: 0.5651858448982239, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8976288437843323, max_false: 0.5162473917007446, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6758156418800354, max_false: 0.5097059011459351, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8638532161712646, max_false: 0.5834843516349792, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8250494003295898, max_false: 0.4186006486415863, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7607612609863281, max_false: 0.6551448702812195, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7785806655883789, max_false: 0.745202362537384, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8436635136604309, max_false: 0.6844266057014465, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6599728465080261, max_false: 0.6732133626937866, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6122434735298157, max_false: 0.6177495121955872, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7668977379798889, max_false: 0.8360162973403931, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9313461184501648, max_false: 0.6874887347221375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8197854161262512, max_false: 0.6142330169677734, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7788634896278381, max_false: 0.7449139952659607, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7393368482589722, max_false: 0.6377994418144226, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5769049525260925, max_false: 0.7021206617355347, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7737970352172852, max_false: 0.7903448343276978, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6968360543251038, max_false: 0.6789289116859436, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7998906373977661, max_false: 0.7153417468070984, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8329901099205017, max_false: 0.6846317052841187, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5976587533950806, max_false: 0.44432634115219116, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8120123147964478, max_false: 0.7312664985656738, correct: True
