experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.919873058795929, max_false: 0.886644184589386, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8462706208229065, max_false: 0.739348828792572, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378632307052612, max_false: 0.8990194797515869, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8785110712051392, max_false: 0.8273574709892273, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8250804543495178, max_false: 0.7752836346626282, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8440144658088684, max_false: 0.8535383343696594, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9442523717880249, max_false: 0.9033450484275818, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8974500298500061, max_false: 0.880861222743988, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9133898019790649, max_false: 0.9011505842208862, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9175781607627869, max_false: 0.8951433897018433, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8568894863128662, max_false: 0.8534411787986755, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8734092712402344, max_false: 0.8438788652420044, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7895200252532959, max_false: 0.8068222999572754, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8858802318572998, max_false: 0.8868905305862427, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8658120036125183, max_false: 0.8437353372573853, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9027795195579529, max_false: 0.909325361251831, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9211320281028748, max_false: 0.8946096897125244, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9248846769332886, max_false: 0.8621309399604797, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9491012096405029, max_false: 0.8739690184593201, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9185013771057129, max_false: 0.8898807764053345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8735986351966858, max_false: 0.8283613324165344, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378783106803894, max_false: 0.8900185227394104, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9141864776611328, max_false: 0.8656039237976074, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9308702349662781, max_false: 0.8405569195747375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9085701704025269, max_false: 0.8272510170936584, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8800996541976929, max_false: 0.8150272369384766, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9407628178596497, max_false: 0.9364582300186157, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9061734080314636, max_false: 0.8875571489334106, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9275361895561218, max_false: 0.9061102271080017, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8054102659225464, max_false: 0.7774051427841187, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9286254048347473, max_false: 0.8861086368560791, correct: True
