experiment run details:
  dataset: hoi
  model: phi hoi None
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_2 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_2 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_1 | equals: False
got: cat_2<|end|><|endoftext|> | expected: cat_2 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_1 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_2 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_2 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_2 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_2 | equals: True
got: cat_2<|end|><|endoftext|> | expected: cat_1 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
got: cat_1<|end|><|endoftext|> | expected: cat_2 | equals: False
got: cat_1<|end|><|endoftext|> | expected: cat_1 | equals: True
