experiment run details:
  dataset: hoi
  model: phi hoi None
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9392894506454468, max_false: 0.9430095553398132, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9483956098556519, max_false: 0.8989367485046387, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9487747550010681, max_false: 0.9514313340187073, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9325239062309265, max_false: 0.904262900352478, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9106156826019287, max_false: 0.9006737470626831, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9038411974906921, max_false: 0.9030426740646362, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9527356028556824, max_false: 0.9510704278945923, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9404066801071167, max_false: 0.9160346388816833, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9341027736663818, max_false: 0.9542065858840942, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9384485483169556, max_false: 0.9105369448661804, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.903206467628479, max_false: 0.9145301580429077, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9261205792427063, max_false: 0.8980462551116943, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8587111830711365, max_false: 0.8752273321151733, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9338997602462769, max_false: 0.9389802813529968, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9195204377174377, max_false: 0.9125328660011292, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9479184746742249, max_false: 0.9465177059173584, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9541688561439514, max_false: 0.9255346059799194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9552761912345886, max_false: 0.912238597869873, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9615540504455566, max_false: 0.9370592832565308, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9619916081428528, max_false: 0.927133321762085, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9135782718658447, max_false: 0.9148179888725281, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9642550349235535, max_false: 0.9351601600646973, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9214848875999451, max_false: 0.9140645265579224, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9675917625427246, max_false: 0.9346283078193665, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9396795630455017, max_false: 0.928490400314331, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9303510189056396, max_false: 0.9091861248016357, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9498270750045776, max_false: 0.9691776037216187, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.957471489906311, max_false: 0.9277850389480591, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378057718276978, max_false: 0.9350541234016418, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9109219908714294, max_false: 0.8934338092803955, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.937736451625824, max_false: 0.9351404309272766, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9652588963508606, max_false: 0.9270591139793396, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9440344572067261, max_false: 0.9630236029624939, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9262330532073975, max_false: 0.9097546935081482, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9402545690536499, max_false: 0.9601334929466248, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9495555758476257, max_false: 0.9281353950500488, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9377194046974182, max_false: 0.955537736415863, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9585246443748474, max_false: 0.9422562718391418, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9396371841430664, max_false: 0.9562414884567261, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9482477903366089, max_false: 0.9161228537559509, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9379444122314453, max_false: 0.9323189854621887, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9304853081703186, max_false: 0.9210243821144104, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9330734014511108, max_false: 0.9396227598190308, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9617219567298889, max_false: 0.9535682797431946, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9324728846549988, max_false: 0.9411222338676453, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9467730522155762, max_false: 0.9293330907821655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496464729309082, max_false: 0.9492024779319763, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9185924530029297, max_false: 0.9124269485473633, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9434592127799988, max_false: 0.934382438659668, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9506462812423706, max_false: 0.9191113710403442, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9263519048690796, max_false: 0.9230731725692749, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.947268009185791, max_false: 0.9540977478027344, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9583963751792908, max_false: 0.9554864168167114, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9371232986450195, max_false: 0.902320384979248, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9364110231399536, max_false: 0.9492248296737671, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9419001340866089, max_false: 0.924470067024231, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9242974519729614, max_false: 0.9294246435165405, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9119338989257812, max_false: 0.9026539325714111, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182883501052856, max_false: 0.9267665147781372, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9493547677993774, max_false: 0.9303172826766968, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8472999334335327, max_false: 0.8797382712364197, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.964683473110199, max_false: 0.8930863738059998, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949442446231842, max_false: 0.9541510939598083, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9470898509025574, max_false: 0.9322766065597534, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9246923923492432, max_false: 0.9394052028656006, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9529828429222107, max_false: 0.9318307638168335, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9448114037513733, max_false: 0.9467570781707764, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9517061114311218, max_false: 0.9403740763664246, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9467200636863708, max_false: 0.9629631638526917, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9162774682044983, max_false: 0.9100871682167053, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9503737092018127, max_false: 0.9461727142333984, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9632322192192078, max_false: 0.9439207315444946, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9404515027999878, max_false: 0.9474689960479736, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9661515355110168, max_false: 0.9479020237922668, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9171801805496216, max_false: 0.9324558973312378, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9564965963363647, max_false: 0.9318441152572632, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9435715079307556, max_false: 0.9601058959960938, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9594019055366516, max_false: 0.9404406547546387, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9235511422157288, max_false: 0.9134721755981445, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9235949516296387, max_false: 0.9328750967979431, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9247024655342102, max_false: 0.8816371560096741, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.953715443611145, max_false: 0.9295780658721924, correct: True
