experiment run details:
  dataset: hoi
  model: phi hoi None
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9185112714767456, max_false: 0.8878973126411438, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.842145562171936, max_false: 0.7371737957000732, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9376869201660156, max_false: 0.8997030258178711, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8790329694747925, max_false: 0.8306800723075867, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8248575329780579, max_false: 0.7816169261932373, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8470165729522705, max_false: 0.8515087366104126, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9475104808807373, max_false: 0.9103475213050842, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8997092843055725, max_false: 0.8775599598884583, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9160673022270203, max_false: 0.9049914479255676, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.917323887348175, max_false: 0.8964439630508423, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8584825396537781, max_false: 0.8532934188842773, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8752843737602234, max_false: 0.8439099192619324, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7959738969802856, max_false: 0.8109710812568665, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8816913366317749, max_false: 0.8851215243339539, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8650944232940674, max_false: 0.8464825749397278, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9026790261268616, max_false: 0.9079142212867737, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.922510027885437, max_false: 0.8959145545959473, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9234725832939148, max_false: 0.8651542663574219, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949811577796936, max_false: 0.88094562292099, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9217326641082764, max_false: 0.8959829807281494, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8798012137413025, max_false: 0.8388888239860535, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9391298890113831, max_false: 0.8939719200134277, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9154041409492493, max_false: 0.8776593804359436, correct: True
