experiment run details:
  dataset: hoi
  model: phi hoi None
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.009539052844047546, max_false: -0.007987726479768753, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0052454653196036816, max_false: 0.032571423798799515, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.012742668390274048, max_false: -0.01193831767886877, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.003517605597153306, max_false: -0.003141942899674177, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: -0.004091077018529177, max_false: -0.019526058807969093, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.010916286148130894, max_false: 0.007812069728970528, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.024993380531668663, max_false: -0.004564256872981787, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.01386704109609127, max_false: -0.027352072298526764, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.008982627652585506, max_false: 0.008535349741578102, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.002561386674642563, max_false: -0.004688139073550701, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.020667530596256256, max_false: 0.027464332059025764, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0006167278625071049, max_false: 0.003971480298787355, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.019714681431651115, max_false: 0.014002992771565914, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.006644842680543661, max_false: -0.008639910258352757, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: -0.0055270022712647915, max_false: -0.006340709514915943, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.02405240759253502, max_false: 0.019608907401561737, correct: True
