experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got: A person's<|end|><|endoftext|> | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
got:  | expected: cat_2 | equals: False
got:  | expected: cat_1 | equals: False
