experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9295523166656494, max_false: 0.9331667423248291, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9384427666664124, max_false: 0.8738608956336975, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9405374526977539, max_false: 0.9447081685066223, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202069044113159, max_false: 0.8879963159561157, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9015716910362244, max_false: 0.8905994296073914, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.891681432723999, max_false: 0.8909318447113037, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9347338676452637, max_false: 0.9347420930862427, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9211196303367615, max_false: 0.8996896147727966, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9233969449996948, max_false: 0.9418195486068726, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9189110994338989, max_false: 0.8819292783737183, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8941282033920288, max_false: 0.9046884775161743, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9092660546302795, max_false: 0.876528263092041, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8463175296783447, max_false: 0.859173595905304, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9222507476806641, max_false: 0.9284390807151794, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9094058275222778, max_false: 0.907578706741333, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9460020661354065, max_false: 0.9417468309402466, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9412768483161926, max_false: 0.9077000617980957, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.944487452507019, max_false: 0.8944680094718933, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9538876414299011, max_false: 0.9266168475151062, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9572676420211792, max_false: 0.9037007093429565, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9008873701095581, max_false: 0.9068065881729126, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9583850502967834, max_false: 0.9265484809875488, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9130724668502808, max_false: 0.9040412306785583, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9600674510002136, max_false: 0.9128049612045288, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9334644675254822, max_false: 0.9167613983154297, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9224746227264404, max_false: 0.8987827301025391, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9403297901153564, max_false: 0.960419774055481, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9533163905143738, max_false: 0.9199461936950684, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9338719248771667, max_false: 0.9372903108596802, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.904991626739502, max_false: 0.8734222054481506, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9327682256698608, max_false: 0.920709490776062, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9581170678138733, max_false: 0.9092646837234497, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9319330453872681, max_false: 0.9484823346138, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9118063449859619, max_false: 0.8908755779266357, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.925879955291748, max_false: 0.9485877156257629, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9380468726158142, max_false: 0.9136381149291992, correct: True
