experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9189711213111877, max_false: 0.8873161673545837, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8483155369758606, max_false: 0.7472743988037109, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9374033808708191, max_false: 0.8985756039619446, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.873805820941925, max_false: 0.8259049654006958, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8216238617897034, max_false: 0.7759273052215576, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.839216411113739, max_false: 0.8455132842063904, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9421016573905945, max_false: 0.908905565738678, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9011334776878357, max_false: 0.8802819848060608, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9108620285987854, max_false: 0.900695264339447, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9143832921981812, max_false: 0.8931115865707397, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8603730201721191, max_false: 0.85576993227005, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8752150535583496, max_false: 0.8464850187301636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7892074584960938, max_false: 0.8037406802177429, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8832853436470032, max_false: 0.8889822959899902, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.865507185459137, max_false: 0.8484081625938416, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9039905071258545, max_false: 0.9050018191337585, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9237416386604309, max_false: 0.897650420665741, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9228423237800598, max_false: 0.8707268834114075, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9472514986991882, max_false: 0.8814240097999573, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9229530692100525, max_false: 0.8864521980285645, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8744774460792542, max_false: 0.8288236260414124, correct: True
