experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8014984726905823, max_false: 0.7035988569259644, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8001990914344788, max_false: 0.5311368703842163, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8196384310722351, max_false: 0.8579205274581909, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.802863359451294, max_false: 0.5295993685722351, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8215782642364502, max_false: 0.6045646071434021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7701315879821777, max_false: 0.6267197728157043, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9281842112541199, max_false: 0.7554360032081604, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7531341910362244, max_false: 0.6086068153381348, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8277689814567566, max_false: 0.8475842475891113, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7530031204223633, max_false: 0.5306458473205566, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6954297423362732, max_false: 0.7746487259864807, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7616986036300659, max_false: 0.7273073792457581, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6997238993644714, max_false: 0.5623852610588074, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7047592401504517, max_false: 0.8543779850006104, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8433459401130676, max_false: 0.5720714926719666, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8244107961654663, max_false: 0.6899240016937256, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9119580984115601, max_false: 0.7058153748512268, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.907503068447113, max_false: 0.6642341017723083, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9087463021278381, max_false: 0.5816044211387634, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8663311004638672, max_false: 0.3803616166114807, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7398313879966736, max_false: 0.7703229188919067, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9062333106994629, max_false: 0.7973074913024902, correct: True
