experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9426381587982178, max_false: 0.9749266505241394, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9635406732559204, max_false: 0.9027890563011169, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9400067925453186, max_false: 0.9624715447425842, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9689826369285583, max_false: 0.9084434509277344, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9271879196166992, max_false: 0.9653642177581787, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9698197245597839, max_false: 0.9280282258987427, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9531482458114624, max_false: 0.977043092250824, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9755159616470337, max_false: 0.9402199387550354, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9297091364860535, max_false: 0.9754803776741028, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9701283574104309, max_false: 0.9305169582366943, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9311962723731995, max_false: 0.979289174079895, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9729693531990051, max_false: 0.9239648580551147, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8988807201385498, max_false: 0.9388614892959595, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9769361019134521, max_false: 0.9471524953842163, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.923034131526947, max_false: 0.9707586765289307, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9807321429252625, max_false: 0.9397304654121399, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9331386685371399, max_false: 0.9625352025032043, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9762940406799316, max_false: 0.8995064496994019, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9054012298583984, max_false: 0.9656844735145569, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9793494343757629, max_false: 0.882416307926178, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9420208930969238, max_false: 0.978026807308197, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9826898574829102, max_false: 0.9341597557067871, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.953420102596283, max_false: 0.9804257154464722, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9737156629562378, max_false: 0.9075876474380493, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9429460167884827, max_false: 0.9674155116081238, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9789665937423706, max_false: 0.9213122129440308, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9332399964332581, max_false: 0.9799887537956238, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9870611429214478, max_false: 0.9472284317016602, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9343841075897217, max_false: 0.9617450833320618, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9733866453170776, max_false: 0.8832627534866333, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9455247521400452, max_false: 0.9618513584136963, correct: False
