experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9184191226959229, max_false: 0.8849412202835083, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8451085686683655, max_false: 0.7385066151618958, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9373199939727783, max_false: 0.8987613320350647, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8769689798355103, max_false: 0.8259925842285156, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8243637084960938, max_false: 0.7738375663757324, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8419524431228638, max_false: 0.8512787222862244, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9406605958938599, max_false: 0.899268388748169, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8950996994972229, max_false: 0.8785699009895325, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9117220044136047, max_false: 0.899716854095459, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.914747416973114, max_false: 0.8924934267997742, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8554750680923462, max_false: 0.8521543145179749, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8728124499320984, max_false: 0.8426564335823059, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.786142110824585, max_false: 0.8024594783782959, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8829047679901123, max_false: 0.88400799036026, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8632311224937439, max_false: 0.8409367799758911, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9012030363082886, max_false: 0.9069260954856873, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9194324016571045, max_false: 0.893095850944519, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9237815141677856, max_false: 0.8603583574295044, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9471995234489441, max_false: 0.8714706301689148, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9157624244689941, max_false: 0.8870360255241394, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.871192455291748, max_false: 0.8258216381072998, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9358778595924377, max_false: 0.8880677819252014, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9111340045928955, max_false: 0.863257646560669, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9288275241851807, max_false: 0.8387712836265564, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9075701236724854, max_false: 0.8265116810798645, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8776221871376038, max_false: 0.8131833076477051, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9385872483253479, max_false: 0.9345019459724426, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9033986926078796, max_false: 0.8851450681686401, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.925369143486023, max_false: 0.9038066864013672, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8030122518539429, max_false: 0.7755061388015747, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.925626814365387, max_false: 0.8835986852645874, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9373029470443726, max_false: 0.910743772983551, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9391036629676819, max_false: 0.9111098051071167, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7709333896636963, max_false: 0.7942017912864685, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9223982691764832, max_false: 0.904322624206543, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9042023420333862, max_false: 0.8979754447937012, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9087920784950256, max_false: 0.8943401575088501, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8970038890838623, max_false: 0.9034119248390198, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9410109519958496, max_false: 0.9360343813896179, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8935805559158325, max_false: 0.8523365259170532, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8731952905654907, max_false: 0.8515135645866394, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8720486164093018, max_false: 0.8594387173652649, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9139707088470459, max_false: 0.898002564907074, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9322434663772583, max_false: 0.9421097636222839, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.903289258480072, max_false: 0.8668525218963623, correct: True
