experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9287618398666382, max_false: 0.9063301086425781, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9088773131370544, max_false: 0.8567036986351013, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9365749359130859, max_false: 0.9430810213088989, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8779122829437256, max_false: 0.8435758948326111, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9397831559181213, max_false: 0.9312789440155029, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.911933422088623, max_false: 0.8717654943466187, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9310186505317688, max_false: 0.9226610064506531, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.898840606212616, max_false: 0.9019314050674438, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9245842099189758, max_false: 0.9373537302017212, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9054201245307922, max_false: 0.8913041353225708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9259704351425171, max_false: 0.9194083213806152, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9266136884689331, max_false: 0.9190019369125366, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9555253386497498, max_false: 0.9471228718757629, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9229282140731812, max_false: 0.8866166472434998, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9471580982208252, max_false: 0.9014973044395447, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9037353992462158, max_false: 0.8577301502227783, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9453659057617188, max_false: 0.9401719570159912, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9341863393783569, max_false: 0.9082017540931702, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9329848289489746, max_false: 0.9115893840789795, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9071037769317627, max_false: 0.8793475031852722, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.907071053981781, max_false: 0.9173991084098816, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9053608179092407, max_false: 0.8838224411010742, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9403032064437866, max_false: 0.9359826445579529, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9314929842948914, max_false: 0.9119101166725159, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9310325384140015, max_false: 0.9343042969703674, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8458813428878784, max_false: 0.8185461163520813, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949394702911377, max_false: 0.9292551875114441, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9226586818695068, max_false: 0.9150049686431885, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9388738870620728, max_false: 0.9360256791114807, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8838968873023987, max_false: 0.880012035369873, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8871683478355408, max_false: 0.8998036980628967, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8979300856590271, max_false: 0.9018576145172119, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.934127926826477, max_false: 0.9016962051391602, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8927093148231506, max_false: 0.8611900806427002, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8827462196350098, max_false: 0.8309680223464966, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9306756854057312, max_false: 0.9264407753944397, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.90223628282547, max_false: 0.8878021240234375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9047093391418457, max_false: 0.8677806258201599, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9487206935882568, max_false: 0.9470739960670471, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9568467736244202, max_false: 0.9364372491836548, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9386865496635437, max_false: 0.9058700799942017, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8813357353210449, max_false: 0.856544017791748, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.950226902961731, max_false: 0.9497063159942627, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8643659949302673, max_false: 0.8701485395431519, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9444295167922974, max_false: 0.8967260122299194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8816990852355957, max_false: 0.8384823799133301, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9417999386787415, max_false: 0.9246712327003479, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9123151898384094, max_false: 0.8826902508735657, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9409551024436951, max_false: 0.9264476299285889, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9033955335617065, max_false: 0.8924999237060547, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9448824524879456, max_false: 0.9362364411354065, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8612141609191895, max_false: 0.8439125418663025, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9300435781478882, max_false: 0.9277673959732056, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.846338152885437, max_false: 0.8160080909729004, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9499184489250183, max_false: 0.886436939239502, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9403548836708069, max_false: 0.8691088557243347, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.929621160030365, max_false: 0.9269983768463135, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9361781477928162, max_false: 0.9211704134941101, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9296067953109741, max_false: 0.8727819919586182, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9335511326789856, max_false: 0.9105880260467529, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9187719821929932, max_false: 0.8708263635635376, correct: True
in: torch.Size([468, 3072]), out: torch.Size([3072]), max_true: 0.8623949289321899, max_false: 0.8339723348617554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.940761923789978, max_false: 0.9451749324798584, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9112685322761536, max_false: 0.8997557163238525, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9405341744422913, max_false: 0.9456225037574768, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9322365522384644, max_false: 0.929168701171875, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9377995729446411, max_false: 0.9328282475471497, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8862225413322449, max_false: 0.8795307278633118, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9603661298751831, max_false: 0.9281334280967712, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9016812443733215, max_false: 0.8696758151054382, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9113830327987671, max_false: 0.8977346420288086, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9537494778633118, max_false: 0.9242681264877319, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9430357813835144, max_false: 0.9434242248535156, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9475691914558411, max_false: 0.9182082414627075, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9453321695327759, max_false: 0.9472618103027344, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378848075866699, max_false: 0.92317795753479, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9403923749923706, max_false: 0.9532754421234131, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9166825413703918, max_false: 0.910982072353363, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9407785534858704, max_false: 0.9073355793952942, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8526968359947205, max_false: 0.8017718195915222, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9343679547309875, max_false: 0.8948681950569153, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9036447405815125, max_false: 0.887010395526886, correct: True
