experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9350302219390869, max_false: 0.9072937369346619, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9137808680534363, max_false: 0.859533429145813, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9370523691177368, max_false: 0.9415650963783264, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8833330869674683, max_false: 0.8485668301582336, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9594692587852478, max_false: 0.9473735690116882, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9076322317123413, max_false: 0.8626041412353516, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9360679984092712, max_false: 0.930974006652832, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9138888716697693, max_false: 0.9190704226493835, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9417375326156616, max_false: 0.9516955614089966, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8971664309501648, max_false: 0.883874237537384, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9232886433601379, max_false: 0.922061026096344, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9420595765113831, max_false: 0.9344450235366821, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9668329358100891, max_false: 0.9549256563186646, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9263098835945129, max_false: 0.8909616470336914, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9545188546180725, max_false: 0.9141230583190918, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8965666890144348, max_false: 0.847618818283081, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9515438079833984, max_false: 0.9466550350189209, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9489123225212097, max_false: 0.927651047706604, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9401013851165771, max_false: 0.9199429750442505, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9101726412773132, max_false: 0.8834065198898315, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9096112251281738, max_false: 0.917779266834259, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9020849466323853, max_false: 0.8827868103981018, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9310211539268494, max_false: 0.9371498823165894, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9448139071464539, max_false: 0.927404522895813, correct: True
