experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9415382742881775, max_false: 0.8787569403648376, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8784198760986328, max_false: 0.8676880598068237, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8616824150085449, max_false: 0.8667502403259277, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8396052122116089, max_false: 0.8707612752914429, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9585098028182983, max_false: 0.8986157774925232, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8911557793617249, max_false: 0.8331467509269714, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9258133172988892, max_false: 0.8675384521484375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8376208543777466, max_false: 0.836888313293457, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8890836834907532, max_false: 0.8419413566589355, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8582932353019714, max_false: 0.8397718071937561, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9213815927505493, max_false: 0.9003021121025085, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9074892997741699, max_false: 0.8972591161727905, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9569374918937683, max_false: 0.9202221035957336, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8817049264907837, max_false: 0.8503212332725525, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9369146823883057, max_false: 0.814020574092865, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9055986404418945, max_false: 0.8517942428588867, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9575198888778687, max_false: 0.9092311859130859, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8764793872833252, max_false: 0.8356752991676331, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9330732226371765, max_false: 0.8706576824188232, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8960892558097839, max_false: 0.8503023982048035, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8297666311264038, max_false: 0.8364442586898804, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.814969003200531, max_false: 0.8222177624702454, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9327112436294556, max_false: 0.9191099405288696, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8951877355575562, max_false: 0.8932595252990723, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9201506972312927, max_false: 0.9106676578521729, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8108813762664795, max_false: 0.8114699125289917, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9596381783485413, max_false: 0.9121707677841187, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8746604323387146, max_false: 0.8553745746612549, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9239299893379211, max_false: 0.8893200755119324, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8435184955596924, max_false: 0.8352707028388977, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8450462818145752, max_false: 0.8539709448814392, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8551648855209351, max_false: 0.8497713804244995, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9073737263679504, max_false: 0.8029183745384216, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8314539194107056, max_false: 0.7636706829071045, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8843830227851868, max_false: 0.7296720147132874, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8648027777671814, max_false: 0.8662035465240479, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.843288242816925, max_false: 0.8360289335250854, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8467174768447876, max_false: 0.7954103946685791, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9653342962265015, max_false: 0.9544042944908142, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9549511075019836, max_false: 0.9435348510742188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9404616951942444, max_false: 0.8955798149108887, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7623358964920044, max_false: 0.7649492025375366, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9413115978240967, max_false: 0.9039123058319092, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8384159207344055, max_false: 0.817313015460968, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336384534835815, max_false: 0.8576534986495972, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9237589836120605, max_false: 0.8549715280532837, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9211146235466003, max_false: 0.8599993586540222, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9284558296203613, max_false: 0.8738663196563721, correct: True
