experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9354891777038574, max_false: 0.9162460565567017, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9234151840209961, max_false: 0.8859918117523193, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9446545243263245, max_false: 0.9501099586486816, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9020169973373413, max_false: 0.8691597580909729, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9635085463523865, max_false: 0.9568883776664734, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9444794058799744, max_false: 0.9093064069747925, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9399533867835999, max_false: 0.9418541193008423, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9266164302825928, max_false: 0.9262255430221558, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9439020156860352, max_false: 0.953301727771759, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9230430722236633, max_false: 0.9120233654975891, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9385611414909363, max_false: 0.9389752149581909, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9510434865951538, max_false: 0.9457657933235168, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9630230069160461, max_false: 0.9616267681121826, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9450871348381042, max_false: 0.9100650548934937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9599212408065796, max_false: 0.9281843900680542, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9096036553382874, max_false: 0.8593230843544006, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9581536650657654, max_false: 0.9543822407722473, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9439312219619751, max_false: 0.9271606206893921, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9415121078491211, max_false: 0.9251130819320679, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9245256781578064, max_false: 0.9025327563285828, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9175549745559692, max_false: 0.9304520487785339, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9154956340789795, max_false: 0.8954230546951294, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9288799166679382, max_false: 0.939726710319519, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9533847570419312, max_false: 0.9349046945571899, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9318109154701233, max_false: 0.938072919845581, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8625468611717224, max_false: 0.8316802978515625, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9619001150131226, max_false: 0.9498329162597656, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9454151391983032, max_false: 0.9248888492584229, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9582129716873169, max_false: 0.9553606510162354, correct: True
