experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.932049572467804, max_false: 0.9091195464134216, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9241125583648682, max_false: 0.891161322593689, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9424797892570496, max_false: 0.9438932538032532, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9058887958526611, max_false: 0.874106764793396, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9684581160545349, max_false: 0.9587729573249817, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9449130296707153, max_false: 0.9096350073814392, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9377269148826599, max_false: 0.9388679265975952, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9280179142951965, max_false: 0.9279143810272217, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9479685425758362, max_false: 0.9559296369552612, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9135127067565918, max_false: 0.9059552550315857, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9369772672653198, max_false: 0.9410662055015564, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9564324617385864, max_false: 0.9483280181884766, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9692668318748474, max_false: 0.9633594155311584, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9418649673461914, max_false: 0.9095479846000671, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9558877944946289, max_false: 0.9275951981544495, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9026777148246765, max_false: 0.8540709018707275, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9625080227851868, max_false: 0.9572564363479614, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9500014185905457, max_false: 0.9320764541625977, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9413044452667236, max_false: 0.9266772270202637, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9249154329299927, max_false: 0.9053286910057068, correct: True
