experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9160588383674622, max_false: 0.8901028037071228, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8993358612060547, max_false: 0.8538033962249756, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9124748706817627, max_false: 0.9251195192337036, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8651716709136963, max_false: 0.820236086845398, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9330875277519226, max_false: 0.9245925545692444, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9161751866340637, max_false: 0.858819842338562, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9100000858306885, max_false: 0.9150642156600952, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8934096693992615, max_false: 0.8913087248802185, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9148681163787842, max_false: 0.931624174118042, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.892285168170929, max_false: 0.8843531012535095, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9147483110427856, max_false: 0.9133578538894653, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9288743138313293, max_false: 0.9107491374015808, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9396607875823975, max_false: 0.9392080903053284, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9218600392341614, max_false: 0.8757160902023315, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342745542526245, max_false: 0.89361572265625, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8778558373451233, max_false: 0.8190865516662598, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9404550194740295, max_false: 0.9354282021522522, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9169988036155701, max_false: 0.8859524726867676, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9123860597610474, max_false: 0.8927736282348633, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8964106440544128, max_false: 0.8693866729736328, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8890393376350403, max_false: 0.9001715183258057, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8883856534957886, max_false: 0.8641812205314636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9115464687347412, max_false: 0.9209657907485962, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9287737607955933, max_false: 0.9044785499572754, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8867005705833435, max_false: 0.9052780866622925, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8210939168930054, max_false: 0.7817001342773438, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9388951659202576, max_false: 0.9208263754844666, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191450476646423, max_false: 0.8958825469017029, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9356012940406799, max_false: 0.930727481842041, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.868450403213501, max_false: 0.8590980172157288, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8647081851959229, max_false: 0.8814197778701782, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8941668272018433, max_false: 0.8875496983528137, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9214611053466797, max_false: 0.8898455500602722, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8782165050506592, max_false: 0.8357040286064148, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8585641384124756, max_false: 0.8219598531723022, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9030653238296509, max_false: 0.8902366757392883, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.875848650932312, max_false: 0.864408016204834, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8918291926383972, max_false: 0.8420949578285217, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9356170892715454, max_false: 0.9362978339195251, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9538366198539734, max_false: 0.9206869602203369, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9173402786254883, max_false: 0.8860664963722229, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8702105283737183, max_false: 0.8241870403289795, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9321014285087585, max_false: 0.9309498071670532, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8418105244636536, max_false: 0.846877932548523, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9247791767120361, max_false: 0.8783498406410217, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8536248207092285, max_false: 0.8042848110198975, correct: True
