experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9186159372329712, max_false: 0.8852336406707764, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8993656635284424, max_false: 0.8534970283508301, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9145509004592896, max_false: 0.9186221361160278, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.86426842212677, max_false: 0.8190439939498901, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9472236037254333, max_false: 0.9325599074363708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9063547253608704, max_false: 0.8508887887001038, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9082396626472473, max_false: 0.9082385897636414, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8943861126899719, max_false: 0.8961892127990723, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.923875093460083, max_false: 0.9372872114181519, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8797912001609802, max_false: 0.8728668689727783, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9091982841491699, max_false: 0.9113395810127258, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9309154748916626, max_false: 0.9183410406112671, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9492414593696594, max_false: 0.9399607181549072, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9166411757469177, max_false: 0.8725075125694275, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9347092509269714, max_false: 0.8950298428535461, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.867668628692627, max_false: 0.806380033493042, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.945754885673523, max_false: 0.9365506768226624, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9237264394760132, max_false: 0.8984388709068298, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.917675256729126, max_false: 0.8941448330879211, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.891086757183075, max_false: 0.8666625618934631, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.88718581199646, max_false: 0.896424412727356, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8853572607040405, max_false: 0.8643955588340759, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8964259028434753, max_false: 0.9117387533187866, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9269419312477112, max_false: 0.9052549004554749, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9033910036087036, max_false: 0.9118034839630127, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8131211400032043, max_false: 0.7763494253158569, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9315451383590698, max_false: 0.9114004969596863, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9116315245628357, max_false: 0.8878952860832214, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9422687292098999, max_false: 0.9334344863891602, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8591516017913818, max_false: 0.8540090322494507, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.865776777267456, max_false: 0.8808437585830688, correct: False
