experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9158945083618164, max_false: 0.8880342245101929, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8993715643882751, max_false: 0.8543118238449097, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9160999059677124, max_false: 0.9247004985809326, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8639373183250427, max_false: 0.8195584416389465, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9318626523017883, max_false: 0.9244692921638489, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9156792163848877, max_false: 0.8590282797813416, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9132198691368103, max_false: 0.9162155389785767, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8936351537704468, max_false: 0.8918288350105286, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9152681231498718, max_false: 0.9311091899871826, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8910186290740967, max_false: 0.8826286196708679, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.914500892162323, max_false: 0.9129830002784729, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9286407232284546, max_false: 0.9094043970108032, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9402605295181274, max_false: 0.9379960298538208, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9215776324272156, max_false: 0.8761252760887146, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336725473403931, max_false: 0.8912757635116577, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8781108260154724, max_false: 0.8191487193107605, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9409950971603394, max_false: 0.9360396265983582, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9187185764312744, max_false: 0.8872166872024536, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9131394028663635, max_false: 0.8917140364646912, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8957220911979675, max_false: 0.8683041930198669, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8890852332115173, max_false: 0.8996434211730957, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8895039558410645, max_false: 0.8653684854507446, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9135980010032654, max_false: 0.9232102036476135, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9286888837814331, max_false: 0.904406726360321, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.892461359500885, max_false: 0.9080207943916321, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8210646510124207, max_false: 0.7827003002166748, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9376106262207031, max_false: 0.9206000566482544, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9199765920639038, max_false: 0.8955156207084656, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9356908798217773, max_false: 0.9293330311775208, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8692090511322021, max_false: 0.8609777092933655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8649743795394897, max_false: 0.8814816474914551, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8937875628471375, max_false: 0.8883470296859741, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9222240447998047, max_false: 0.8899827599525452, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8783062696456909, max_false: 0.837708055973053, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8601900339126587, max_false: 0.8222853541374207, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9010142683982849, max_false: 0.8898500800132751, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8749483823776245, max_false: 0.8649539351463318, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.891801118850708, max_false: 0.8418288230895996, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9372824430465698, max_false: 0.9363442063331604, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9544570446014404, max_false: 0.9213274717330933, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9175575375556946, max_false: 0.8861472606658936, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8683109283447266, max_false: 0.822431206703186, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9328591823577881, max_false: 0.931014895439148, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8411564826965332, max_false: 0.8468796610832214, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9246774911880493, max_false: 0.8782885074615479, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.853719174861908, max_false: 0.8042983412742615, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9327954649925232, max_false: 0.9175187945365906, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9002999663352966, max_false: 0.8548963069915771, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9358105659484863, max_false: 0.9242064356803894, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.897881031036377, max_false: 0.8801621198654175, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9268983006477356, max_false: 0.9212382435798645, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8367582559585571, max_false: 0.8120309114456177, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9126761555671692, max_false: 0.9166688919067383, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8312849998474121, max_false: 0.7842721939086914, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9335527420043945, max_false: 0.8667437434196472, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9340149760246277, max_false: 0.8373147249221802, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9077909588813782, max_false: 0.9096351861953735, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9262171983718872, max_false: 0.9046748876571655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9193089008331299, max_false: 0.8587998747825623, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9285699129104614, max_false: 0.8878160119056702, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8949633240699768, max_false: 0.845771312713623, correct: True
in: torch.Size([468, 3072]), out: torch.Size([3072]), max_true: 0.8460604548454285, max_false: 0.8033220171928406, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9165605306625366, max_false: 0.9326901435852051, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9099969863891602, max_false: 0.8857272267341614, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9368295073509216, max_false: 0.9406541585922241, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9267258644104004, max_false: 0.9292141199111938, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9185685515403748, max_false: 0.9243015050888062, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8637865781784058, max_false: 0.8520939350128174, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9511021971702576, max_false: 0.9224323034286499, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8693259954452515, max_false: 0.8361660838127136, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8991342782974243, max_false: 0.882384717464447, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9453285932540894, max_false: 0.895263671875, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9289283752441406, max_false: 0.9354181289672852, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9318102598190308, max_false: 0.8906797170639038, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9286605715751648, max_false: 0.9382690787315369, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9325951933860779, max_false: 0.9067057371139526, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145479798316956, max_false: 0.9410613775253296, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9067944884300232, max_false: 0.8917907476425171, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9264164566993713, max_false: 0.9027443528175354, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8358926773071289, max_false: 0.7750265598297119, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9187602996826172, max_false: 0.8907127976417542, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9034430384635925, max_false: 0.8743665218353271, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9178287982940674, max_false: 0.9442559480667114, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9379833936691284, max_false: 0.9085983037948608, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9340285658836365, max_false: 0.8909993767738342, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8817660808563232, max_false: 0.8491402864456177, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.934994637966156, max_false: 0.9133793115615845, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9141541719436646, max_false: 0.8411868810653687, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9226523637771606, max_false: 0.9285010695457458, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9242103695869446, max_false: 0.8754477500915527, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.858291506767273, max_false: 0.8885881304740906, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8392109870910645, max_false: 0.8685834407806396, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9432216286659241, max_false: 0.9110015630722046, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9267482161521912, max_false: 0.8500416874885559, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.92552250623703, max_false: 0.9371209144592285, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9488614797592163, max_false: 0.8816298842430115, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9252238273620605, max_false: 0.9320321679115295, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9224092960357666, max_false: 0.8870162963867188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.929872989654541, max_false: 0.9312717318534851, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191018342971802, max_false: 0.9040897488594055, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9328951239585876, max_false: 0.9348347187042236, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8963990211486816, max_false: 0.8498850464820862, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9471464157104492, max_false: 0.8065086603164673, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8667858242988586, max_false: 0.7180771231651306, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9247622489929199, max_false: 0.9343984723091125, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9029356837272644, max_false: 0.8886755108833313, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9455149173736572, max_false: 0.9038511514663696, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.829531729221344, max_false: 0.8063575625419617, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9112231731414795, max_false: 0.9116212129592896, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9084282517433167, max_false: 0.8588561415672302, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9436022639274597, max_false: 0.9296209216117859, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.875809907913208, max_false: 0.8505264520645142, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9006077647209167, max_false: 0.9272065758705139, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9198331236839294, max_false: 0.880857527256012, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191538095474243, max_false: 0.89533531665802, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.866845965385437, max_false: 0.8183591365814209, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9234342575073242, max_false: 0.8706863522529602, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9344935417175293, max_false: 0.8822281360626221, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9435504078865051, max_false: 0.9333507418632507, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.927985668182373, max_false: 0.8951800465583801, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9170351028442383, max_false: 0.8969663381576538, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8943196535110474, max_false: 0.8625324964523315, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8974594473838806, max_false: 0.8688535094261169, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8831368684768677, max_false: 0.8450824022293091, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8675985336303711, max_false: 0.8918790221214294, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8966385126113892, max_false: 0.8345766067504883, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9198980927467346, max_false: 0.9291783571243286, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.899336576461792, max_false: 0.8690469861030579, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9249552488327026, max_false: 0.9337547421455383, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9112608432769775, max_false: 0.8967901468276978, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.928615927696228, max_false: 0.9201728105545044, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8589338064193726, max_false: 0.8423320651054382, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9249502420425415, max_false: 0.8479273319244385, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9206222295761108, max_false: 0.844197154045105, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.896553099155426, max_false: 0.8470520973205566, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9126365184783936, max_false: 0.8537141680717468, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9122997522354126, max_false: 0.8786090016365051, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9105383157730103, max_false: 0.8533196449279785, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8697620630264282, max_false: 0.8494797945022583, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9050532579421997, max_false: 0.8580576181411743, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9102739095687866, max_false: 0.930249035358429, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8905963897705078, max_false: 0.8598232269287109, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9178488850593567, max_false: 0.9219328761100769, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9204217791557312, max_false: 0.87789386510849, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.928307294845581, max_false: 0.9415537714958191, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9032189846038818, max_false: 0.8913993835449219, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9299628734588623, max_false: 0.9317413568496704, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9135048985481262, max_false: 0.8990329504013062, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8082558512687683, max_false: 0.8176345825195312, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9089457988739014, max_false: 0.8377251029014587, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9287946224212646, max_false: 0.9548041224479675, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8700331449508667, max_false: 0.8532440066337585, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9339064359664917, max_false: 0.9310963749885559, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8764855861663818, max_false: 0.8819397687911987, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8936645984649658, max_false: 0.8978133797645569, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9414496421813965, max_false: 0.9180528521537781, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9311052560806274, max_false: 0.9184740781784058, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8867660760879517, max_false: 0.8584080338478088, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9284341931343079, max_false: 0.8869304060935974, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8672348856925964, max_false: 0.8410665988922119, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342013001441956, max_false: 0.881547212600708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9023878574371338, max_false: 0.8502800464630127, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9297059178352356, max_false: 0.922299325466156, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9354880452156067, max_false: 0.8848610520362854, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9383888840675354, max_false: 0.9440737366676331, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8641501069068909, max_false: 0.8465282917022705, correct: True
