experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9207254648208618, max_false: 0.8873302936553955, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9000331163406372, max_false: 0.855253279209137, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9121159315109253, max_false: 0.9168035984039307, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8648208379745483, max_false: 0.8206753730773926, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9460047483444214, max_false: 0.9315968155860901, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9059295058250427, max_false: 0.8520668148994446, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9112920761108398, max_false: 0.9104887247085571, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8947131633758545, max_false: 0.8981095552444458, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9230167269706726, max_false: 0.937497079372406, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8776634931564331, max_false: 0.8710290193557739, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9074549078941345, max_false: 0.9113631844520569, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9312166571617126, max_false: 0.9182916879653931, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9461469650268555, max_false: 0.9374381303787231, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9166316390037537, max_false: 0.8727297782897949, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9341820478439331, max_false: 0.8938028216362, correct: True
