----- test -----
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9158411622047424, max_false: 0.8244850635528564, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8349286913871765, max_false: 0.8130285739898682, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8365758657455444, max_false: 0.8410938382148743, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7823470830917358, max_false: 0.8077020049095154, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9504777789115906, max_false: 0.8777526021003723, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.877670168876648, max_false: 0.8108357191085815, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9142987728118896, max_false: 0.8460434079170227, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8114244937896729, max_false: 0.8084110617637634, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8782395124435425, max_false: 0.819061279296875, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8305963277816772, max_false: 0.8083979487419128, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9021468162536621, max_false: 0.8763515949249268, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8866928219795227, max_false: 0.8757976293563843, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9479360580444336, max_false: 0.9027845859527588, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8593789935112, max_false: 0.8223761916160583, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9204344153404236, max_false: 0.7771926522254944, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8899486660957336, max_false: 0.8356487154960632, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9532193541526794, max_false: 0.8986875414848328, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8429617285728455, max_false: 0.7917569279670715, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9217002987861633, max_false: 0.8444127440452576, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8810946941375732, max_false: 0.8237621784210205, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8041414022445679, max_false: 0.809198796749115, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.795942485332489, max_false: 0.7967024445533752, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9263496398925781, max_false: 0.9103525876998901, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8740571141242981, max_false: 0.870978593826294, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9037728905677795, max_false: 0.8890680074691772, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7640833854675293, max_false: 0.7603174448013306, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.95615154504776, max_false: 0.9014058113098145, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8604833483695984, max_false: 0.8390418887138367, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9092583656311035, max_false: 0.8676116466522217, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8178595304489136, max_false: 0.8072036504745483, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8038679361343384, max_false: 0.8128036856651306, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8223537802696228, max_false: 0.8153034448623657, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9043929576873779, max_false: 0.7935118675231934, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8016551733016968, max_false: 0.7236257195472717, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8349202275276184, max_false: 0.7029619216918945, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8406245708465576, max_false: 0.8526270389556885, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8230443000793457, max_false: 0.8071224093437195, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8174502849578857, max_false: 0.7667678594589233, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9586384296417236, max_false: 0.9453780651092529, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9462766051292419, max_false: 0.9322448968887329, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9312077760696411, max_false: 0.8806086182594299, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7126935720443726, max_false: 0.7140459418296814, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.930924117565155, max_false: 0.8822715282440186, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8237584829330444, max_false: 0.7917827367782593, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9179005026817322, max_false: 0.8261756896972656, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.910744845867157, max_false: 0.8268869519233704, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9061639308929443, max_false: 0.8374850153923035, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9143081307411194, max_false: 0.8527410626411438, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9291285872459412, max_false: 0.8548645973205566, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8369057774543762, max_false: 0.8299373388290405, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.916822075843811, max_false: 0.8836822509765625, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.704230010509491, max_false: 0.7010517716407776, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336395263671875, max_false: 0.8878169059753418, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.747992992401123, max_false: 0.7088879346847534, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9314862489700317, max_false: 0.775242030620575, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8791612386703491, max_false: 0.7316860556602478, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8867287039756775, max_false: 0.855960488319397, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8806999325752258, max_false: 0.8912179470062256, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8987225294113159, max_false: 0.7563509345054626, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9027869701385498, max_false: 0.8605011701583862, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8993715047836304, max_false: 0.7760872840881348, correct: True
in: torch.Size([468, 3072]), out: torch.Size([3072]), max_true: 0.7002692818641663, max_false: 0.6332709193229675, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9443289041519165, max_false: 0.9105223417282104, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8300307989120483, max_false: 0.8299819827079773, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378410577774048, max_false: 0.8969863653182983, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8746255040168762, max_false: 0.9139030575752258, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9024059176445007, max_false: 0.8701488375663757, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7709841132164001, max_false: 0.7958250641822815, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9326837658882141, max_false: 0.883470892906189, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8113834857940674, max_false: 0.7841692566871643, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8331319689750671, max_false: 0.7873409390449524, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9311087727546692, max_false: 0.8948022723197937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9328603148460388, max_false: 0.8831688761711121, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8937250971794128, max_false: 0.829132080078125, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9295210242271423, max_false: 0.9280516505241394, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8928565979003906, max_false: 0.8873351216316223, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9151697158813477, max_false: 0.9261428117752075, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8664842844009399, max_false: 0.8311935067176819, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9111873507499695, max_false: 0.8111282587051392, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8050098419189453, max_false: 0.7352109551429749, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9183640480041504, max_false: 0.8292050361633301, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7166281342506409, max_false: 0.72185218334198, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8985170722007751, max_false: 0.8942376971244812, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8774311542510986, max_false: 0.8652089834213257, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9040466547012329, max_false: 0.8309740424156189, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8285883069038391, max_false: 0.8036307096481323, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9211816787719727, max_false: 0.7700903415679932, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9122486710548401, max_false: 0.8218395709991455, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9008641839027405, max_false: 0.8802410364151001, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8850167989730835, max_false: 0.834548830986023, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7185659408569336, max_false: 0.6457045078277588, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4327182173728943, max_false: 0.5788556337356567, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9644990563392639, max_false: 0.8582417368888855, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9028973579406738, max_false: 0.7883075475692749, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.938330888748169, max_false: 0.893963098526001, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9498819708824158, max_false: 0.8545777797698975, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9305840134620667, max_false: 0.9083426594734192, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.882709264755249, max_false: 0.8632761240005493, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9102146029472351, max_false: 0.9031933546066284, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.809933602809906, max_false: 0.8323636054992676, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9344110488891602, max_false: 0.9072703123092651, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8378544449806213, max_false: 0.8275104761123657, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336320757865906, max_false: 0.7265604138374329, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7678476572036743, max_false: 0.5957047343254089, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342337846755981, max_false: 0.928279459476471, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8797809481620789, max_false: 0.8735001683235168, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9448164701461792, max_false: 0.8707228899002075, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8168037533760071, max_false: 0.8141298890113831, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8955802917480469, max_false: 0.8953151106834412, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8967506885528564, max_false: 0.8629755973815918, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9609660506248474, max_false: 0.9053009748458862, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7339750528335571, max_false: 0.706244945526123, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9015516638755798, max_false: 0.919373631477356, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8659461140632629, max_false: 0.8555002808570862, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9196676015853882, max_false: 0.8658958077430725, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8348608613014221, max_false: 0.8103386759757996, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8934454917907715, max_false: 0.7444139719009399, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8902019262313843, max_false: 0.7987105846405029, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9588819146156311, max_false: 0.9312613606452942, correct: True
