experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9146128296852112, max_false: 0.8223451972007751, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8344056010246277, max_false: 0.8113569021224976, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8383885622024536, max_false: 0.841764509677887, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7821530103683472, max_false: 0.8075191378593445, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9499412775039673, max_false: 0.8742534518241882, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8760149478912354, max_false: 0.8071796298027039, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9128168821334839, max_false: 0.843937337398529, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8095006346702576, max_false: 0.8068697452545166, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8777060508728027, max_false: 0.817516565322876, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8300848007202148, max_false: 0.8064122200012207, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9004510045051575, max_false: 0.8741090297698975, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8855249881744385, max_false: 0.8743709921836853, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9476149678230286, max_false: 0.9018344283103943, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8579116463661194, max_false: 0.8203955292701721, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9205632209777832, max_false: 0.776083767414093, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8886668086051941, max_false: 0.8349910974502563, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.952880859375, max_false: 0.8974932432174683, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8411213755607605, max_false: 0.7893244028091431, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9210399985313416, max_false: 0.8428390622138977, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8785122632980347, max_false: 0.8209633827209473, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8008348345756531, max_false: 0.8052598237991333, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7931245565414429, max_false: 0.7935141324996948, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.925676703453064, max_false: 0.9092028141021729, correct: True
