experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9351946115493774, max_false: 0.9055736064910889, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202408194541931, max_false: 0.8798866868019104, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9332812428474426, max_false: 0.9374590516090393, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8916028141975403, max_false: 0.851799488067627, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9621149301528931, max_false: 0.9502028822898865, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9314278364181519, max_false: 0.8897182941436768, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9317625761032104, max_false: 0.9322102665901184, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9184662699699402, max_false: 0.9218785166740417, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9449868202209473, max_false: 0.9510203003883362, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9063521027565002, max_false: 0.898908793926239, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9299846291542053, max_false: 0.9310726523399353, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9495807886123657, max_false: 0.9425663948059082, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9668769836425781, max_false: 0.9571235179901123, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9356904625892639, max_false: 0.9033100008964539, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.950350821018219, max_false: 0.9220345616340637, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8943176865577698, max_false: 0.8413698077201843, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9571756720542908, max_false: 0.949876070022583, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9453227519989014, max_false: 0.927121102809906, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9394742250442505, max_false: 0.9185963869094849, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145732522010803, max_false: 0.8951562643051147, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9103819727897644, max_false: 0.919417142868042, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9055513739585876, max_false: 0.885066032409668, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9198047518730164, max_false: 0.9317562580108643, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9466605186462402, max_false: 0.9305574297904968, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9315734505653381, max_false: 0.9330024719238281, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8449280261993408, max_false: 0.8182386755943298, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9545189142227173, max_false: 0.9390769600868225, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9341311454772949, max_false: 0.9135442972183228, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9611105918884277, max_false: 0.9536263346672058, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8888442516326904, max_false: 0.8847659826278687, correct: True
