experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8239090442657471, max_false: 0.8246267437934875, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9001227617263794, max_false: 0.45282623171806335, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.92633455991745, max_false: 0.6356365084648132, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8560923337936401, max_false: 0.4080457091331482, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9602328538894653, max_false: 0.7600632309913635, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8834368586540222, max_false: 0.39021167159080505, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9107003808021545, max_false: 0.5991584062576294, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8855696320533752, max_false: 0.3544139266014099, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378565549850464, max_false: 0.9564948678016663, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8744721412658691, max_false: 0.6927980184555054, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8971782326698303, max_false: 0.7515323162078857, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8559739589691162, max_false: 0.7773757576942444, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9563459753990173, max_false: 0.48445233702659607, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8969770073890686, max_false: 0.4360969066619873, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9422246813774109, max_false: 0.21069851517677307, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8689219355583191, max_false: 0.28519681096076965, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.966354250907898, max_false: 0.7158052325248718, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8832616806030273, max_false: 0.3166196644306183, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9060377478599548, max_false: 0.15458528697490692, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8826974034309387, max_false: 0.3276180326938629, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7889345288276672, max_false: 0.8361499309539795, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.862764835357666, max_false: 0.5097090005874634, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9565967321395874, max_false: 0.4871022701263428, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9175887107849121, max_false: 0.28541576862335205, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7098445892333984, max_false: 0.34797441959381104, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.827150821685791, max_false: 0.6245087385177612, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9728666543960571, max_false: 0.22470372915267944, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8733780384063721, max_false: 0.30158406496047974, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9056795239448547, max_false: 0.7898591160774231, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8307016491889954, max_false: 0.29047906398773193, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6075373291969299, max_false: 0.8648627996444702, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8801854848861694, max_false: 0.5337627530097961, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9739365577697754, max_false: 0.6490123867988586, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6676126718521118, max_false: 0.19927650690078735, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8567429780960083, max_false: 0.5987139344215393, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.885240375995636, max_false: 0.7344475984573364, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6715790033340454, max_false: -0.06390384584665298, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8868458271026611, max_false: 0.41770902276039124, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9288825392723083, max_false: 0.24022500216960907, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9415667653083801, max_false: 0.512770414352417, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9232710599899292, max_false: 0.35685697197914124, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.862794816493988, max_false: 0.34060344099998474, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9354588985443115, max_false: 0.28441259264945984, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8208305835723877, max_false: 0.2693401575088501, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9611135721206665, max_false: 0.04948689416050911, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8099069595336914, max_false: 0.02987878955900669, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9399157166481018, max_false: 0.532163143157959, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8784812688827515, max_false: 0.521878182888031, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9461857080459595, max_false: 0.4419526755809784, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8817057013511658, max_false: 0.42454978823661804, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9513156414031982, max_false: 0.3551681637763977, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8079332709312439, max_false: 0.3404103219509125, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145159125328064, max_false: 0.6101038455963135, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8227636814117432, max_false: 0.3070518374443054, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9300118088722229, max_false: 0.5388621687889099, correct: True
