experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8859415054321289, max_false: 0.7969597578048706, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8748748302459717, max_false: 0.6513612270355225, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8331206440925598, max_false: 0.2861918807029724, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8511696457862854, max_false: 0.6461009383201599, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9787807464599609, max_false: 0.7770501375198364, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9133104085922241, max_false: 0.6200502514839172, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9283744692802429, max_false: 0.6259555220603943, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8715952634811401, max_false: 0.6072081923484802, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9627609252929688, max_false: 0.9531240463256836, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.896845817565918, max_false: 0.8038934469223022, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8909384608268738, max_false: 0.5487741231918335, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8117440342903137, max_false: 0.8729393482208252, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9151672720909119, max_false: 0.40517279505729675, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9016427397727966, max_false: 0.5905196666717529, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.915160059928894, max_false: 0.2273380309343338, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8560600280761719, max_false: 0.41051188111305237, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9810124635696411, max_false: 0.6147842407226562, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202696681022644, max_false: 0.5648204684257507, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8153677582740784, max_false: 0.18359258770942688, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8827754259109497, max_false: 0.5918352603912354, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8421726226806641, max_false: 0.8406689167022705, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8683669567108154, max_false: 0.6715133190155029, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9404932260513306, max_false: 0.46256452798843384, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9164249300956726, max_false: 0.4335903823375702, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5928890705108643, max_false: 0.24624384939670563, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7872524857521057, max_false: 0.7173495292663574, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9557128548622131, max_false: 0.17298798263072968, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9064753651618958, max_false: 0.5804986953735352, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.955340564250946, max_false: 0.7073876857757568, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8413434028625488, max_false: 0.4878707826137543, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7272306084632874, max_false: 0.871178388595581, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8750046491622925, max_false: 0.7062904834747314, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9697301387786865, max_false: 0.5267378687858582, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7617260217666626, max_false: 0.38441312313079834, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8780428171157837, max_false: 0.4863326847553253, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8848625421524048, max_false: 0.7915284037590027, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.543016791343689, max_false: -0.05190359801054001, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8814114928245544, max_false: 0.5940937399864197, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8379192352294922, max_false: 0.170644611120224, correct: True
