experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.854649543762207, max_false: 0.596826434135437, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7912310361862183, max_false: 0.3921607434749603, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8869163393974304, max_false: 0.5415157079696655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6515114903450012, max_false: 0.2326822727918625, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6248522996902466, max_false: 0.5370894074440002, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7926805019378662, max_false: 0.09183219820261002, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8180590867996216, max_false: 0.6917976140975952, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7619544863700867, max_false: 0.32949042320251465, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8746032118797302, max_false: 0.8081022500991821, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7098057270050049, max_false: 0.5359873175621033, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7542935013771057, max_false: 0.500352144241333, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7039850354194641, max_false: 0.551698625087738, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191961884498596, max_false: 0.46585914492607117, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7843294739723206, max_false: 0.12719379365444183, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.907882034778595, max_false: 0.43382614850997925, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7886462807655334, max_false: 0.16308659315109253, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9347834587097168, max_false: 0.5940914154052734, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8849186897277832, max_false: 0.26810362935066223, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8639287352561951, max_false: 0.5416361093521118, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7852586507797241, max_false: 0.23552638292312622, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6620863676071167, max_false: 0.6178489923477173, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6933109164237976, max_false: 0.41399744153022766, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8524172306060791, max_false: 0.5329577922821045, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.799243688583374, max_false: 0.22645816206932068, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8493881225585938, max_false: 0.5127357840538025, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6519767642021179, max_false: 0.3171767592430115, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9285275936126709, max_false: 0.289035826921463, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8375259637832642, max_false: 0.18293584883213043, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8390005230903625, max_false: 0.6435965895652771, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7265309691429138, max_false: 0.34416288137435913, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.35976454615592957, max_false: 0.7488060593605042, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7463164925575256, max_false: 0.20963889360427856, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9345706105232239, max_false: 0.44585782289505005, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6459226012229919, max_false: 0.11300641298294067, correct: True
