experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8584848046302795, max_false: 0.6899121403694153, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7882835268974304, max_false: 0.45258697867393494, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8300349712371826, max_false: 0.6412217020988464, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6643453240394592, max_false: 0.28344693779945374, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6268203258514404, max_false: 0.6807946562767029, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7747094631195068, max_false: 0.1486416608095169, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7601803541183472, max_false: 0.7833788990974426, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7932264804840088, max_false: 0.42865657806396484, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8521202802658081, max_false: 0.8978805541992188, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.697128176689148, max_false: 0.5713177919387817, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7667973041534424, max_false: 0.5135399699211121, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7527903914451599, max_false: 0.47569626569747925, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9355948567390442, max_false: 0.5285581350326538, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.776432991027832, max_false: 0.19970157742500305, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8821485638618469, max_false: 0.48461487889289856, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.782699465751648, max_false: 0.1915309578180313, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9373205900192261, max_false: 0.6889062523841858, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.905681848526001, max_false: 0.3672609329223633, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8500216007232666, max_false: 0.6888933181762695, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7370021939277649, max_false: 0.33826184272766113, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6760619878768921, max_false: 0.6935069561004639, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.701005756855011, max_false: 0.5268810987472534, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8629937171936035, max_false: 0.625065267086029, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8021190762519836, max_false: 0.35649463534355164, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8695757389068604, max_false: 0.6927352547645569, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6333304047584534, max_false: 0.37849992513656616, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9134573340415955, max_false: 0.3332589566707611, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.882049560546875, max_false: 0.19714313745498657, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8759165406227112, max_false: 0.6957108974456787, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6326627135276794, max_false: 0.4325053095817566, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.45032861828804016, max_false: 0.7224788665771484, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6967414617538452, max_false: 0.354951947927475, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9265883564949036, max_false: 0.5141991972923279, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.677888035774231, max_false: 0.22067397832870483, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6643028855323792, max_false: 0.49126535654067993, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7793669700622559, max_false: 0.6213003396987915, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6609684824943542, max_false: 0.2937981188297272, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7370036244392395, max_false: 0.2615584433078766, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9118364453315735, max_false: 0.6346864104270935, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9147754907608032, max_false: 0.45705947279930115, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9284973740577698, max_false: 0.43756046891212463, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5128304362297058, max_false: 0.22776205837726593, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8756217360496521, max_false: 0.5098561644554138, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6641363501548767, max_false: 0.3645433485507965, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9023913741111755, max_false: 0.2553374767303467, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6201742887496948, max_false: 0.12635289132595062, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9343850612640381, max_false: 0.4023692011833191, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7831592559814453, max_false: 0.25205856561660767, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8811407089233398, max_false: 0.6318468451499939, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7259243130683899, max_false: 0.4032556116580963, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9133586883544922, max_false: 0.48306727409362793, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6400715708732605, max_false: 0.24835510551929474, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7270194292068481, max_false: 0.5954329371452332, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.654541552066803, max_false: 0.2781452238559723, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8977235555648804, max_false: 0.39692220091819763, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.863747775554657, max_false: 0.1613762378692627, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7397094368934631, max_false: 0.6234701871871948, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7630778551101685, max_false: 0.4057064652442932, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8854097723960876, max_false: 0.33878031373023987, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8267678618431091, max_false: 0.20309510827064514, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9048561453819275, max_false: 0.293112576007843, correct: True
in: torch.Size([468, 3072]), out: torch.Size([3072]), max_true: 0.7431221008300781, max_false: 0.27642303705215454, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5494203567504883, max_false: 0.7403981685638428, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7958786487579346, max_false: 0.23025020956993103, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9023051857948303, max_false: 0.7653028964996338, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7773204445838928, max_false: 0.491636723279953, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7825441360473633, max_false: 0.6956567168235779, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7979732751846313, max_false: 0.4408058226108551, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9389157891273499, max_false: 0.5392819046974182, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6763954758644104, max_false: 0.19221046566963196, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5328298807144165, max_false: 0.6484766602516174, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8688764572143555, max_false: 0.43741127848625183, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6665341258049011, max_false: 0.7032639384269714, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7283949851989746, max_false: 0.31374213099479675, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9161068201065063, max_false: 0.6777867674827576, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8993030786514282, max_false: 0.5665197968482971, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9147190451622009, max_false: 0.806560754776001, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7392011880874634, max_false: 0.45157670974731445, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8843390345573425, max_false: 0.466457724571228, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6066694855690002, max_false: 0.18903852999210358, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.912074863910675, max_false: 0.3650110065937042, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8502668142318726, max_false: 0.32845959067344666, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6481589674949646, max_false: 0.8108158707618713, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.809779167175293, max_false: 0.5165860652923584, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8540930151939392, max_false: 0.3027400076389313, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6220458149909973, max_false: 0.3507559597492218, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.898909330368042, max_false: 0.5316726565361023, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8541715741157532, max_false: 0.33875566720962524, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8350543975830078, max_false: 0.6208761930465698, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8887948989868164, max_false: 0.3217713534832001, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7143944501876831, max_false: 0.7506681680679321, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7767161130905151, max_false: 0.7700772881507874, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9036506414413452, max_false: 0.50081467628479, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8025322556495667, max_false: 0.22688961029052734, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7533464431762695, max_false: 0.6385977268218994, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8467916250228882, max_false: 0.45279818773269653, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7631903290748596, max_false: 0.6870977282524109, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.691906750202179, max_false: 0.3829546570777893, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8961151838302612, max_false: 0.7136372327804565, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8217618465423584, max_false: 0.5367833375930786, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8612709641456604, max_false: 0.46963557600975037, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.825737714767456, max_false: 0.26293569803237915, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9029528498649597, max_false: 0.46543076634407043, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7223446369171143, max_false: 0.14095158874988556, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6615502238273621, max_false: 0.6684883832931519, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7403669357299805, max_false: 0.5575096607208252, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8883755207061768, max_false: 0.4292621314525604, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.6775807738304138, max_false: 0.21579404175281525, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8550183176994324, max_false: 0.4631211757659912, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8181619644165039, max_false: 0.3499357998371124, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8813167810440063, max_false: 0.5467520356178284, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7469937801361084, max_false: 0.3524684011936188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5424345135688782, max_false: 0.8139746785163879, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7960000038146973, max_false: 0.39574289321899414, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8480013012886047, max_false: 0.5115247368812561, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6436366438865662, max_false: 0.2747817635536194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9093891978263855, max_false: 0.5408656001091003, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8913298845291138, max_false: 0.28248974680900574, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8761822581291199, max_false: 0.4812606871128082, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8924334645271301, max_false: 0.4614536166191101, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8525891900062561, max_false: 0.5981740355491638, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7976812124252319, max_false: 0.24765028059482574, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7994711399078369, max_false: 0.49239951372146606, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.770060122013092, max_false: 0.3674696385860443, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5853794813156128, max_false: 0.6657394170761108, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7451752424240112, max_false: 0.4401150345802307, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8851979970932007, max_false: 0.8130196332931519, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7930827140808105, max_false: 0.32578808069229126, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8899499773979187, max_false: 0.7292600274085999, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8511450886726379, max_false: 0.6746595501899719, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7540892362594604, max_false: 0.6509621143341064, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7124825119972229, max_false: 0.25648069381713867, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9351490139961243, max_false: 0.4299483895301819, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.808219313621521, max_false: 0.27466267347335815, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8826970458030701, max_false: 0.5738657116889954, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8567970395088196, max_false: 0.45432552695274353, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9040848612785339, max_false: 0.4552617073059082, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8337456583976746, max_false: 0.3109132945537567, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.5844418406486511, max_false: 0.6066291928291321, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7959405779838562, max_false: 0.2677682042121887, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7273126840591431, max_false: 0.7791167497634888, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8007233738899231, max_false: 0.30098915100097656, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7333922982215881, max_false: 0.7036606073379517, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8861951231956482, max_false: 0.49799954891204834, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9008421897888184, max_false: 0.6426084041595459, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8547670245170593, max_false: 0.3715652823448181, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7558214664459229, max_false: 0.81138676404953, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7830518484115601, max_false: 0.28133004903793335, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6726869940757751, max_false: 0.5228198766708374, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.814278781414032, max_false: 0.3819245398044586, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6975189447402954, max_false: 0.8370969891548157, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7068525552749634, max_false: 0.3304378092288971, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7980062365531921, max_false: 0.740206241607666, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7502402663230896, max_false: 0.4953196048736572, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7732614874839783, max_false: 0.6050043702125549, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8888785243034363, max_false: 0.3293590247631073, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8334729075431824, max_false: 0.6827293634414673, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7250545620918274, max_false: 0.291111022233963, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9109746813774109, max_false: 0.4173390567302704, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6934293508529663, max_false: 0.30437400937080383, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8750154972076416, max_false: 0.43437594175338745, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.785321831703186, max_false: 0.3087367117404938, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8956714272499084, max_false: 0.5226223468780518, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8208230137825012, max_false: 0.3795449733734131, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7853561043739319, max_false: 0.7792409658432007, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8205746412277222, max_false: 0.38078573346138, correct: True
