experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9160763025283813, max_false: 0.8215954899787903, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8315595984458923, max_false: 0.8073795437812805, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8342303037643433, max_false: 0.8375105261802673, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7767651081085205, max_false: 0.802351176738739, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9495027661323547, max_false: 0.8747357130050659, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8755418658256531, max_false: 0.8072596192359924, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9121605157852173, max_false: 0.8416601419448853, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8076894879341125, max_false: 0.8048766851425171, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8760361671447754, max_false: 0.8154112696647644, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8272042274475098, max_false: 0.8050935864448547, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8985212445259094, max_false: 0.8731489181518555, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8849186897277832, max_false: 0.8730737566947937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9471909403800964, max_false: 0.9011931419372559, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8568030595779419, max_false: 0.8191519379615784, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9184542298316956, max_false: 0.7741216421127319, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8878830671310425, max_false: 0.8341904282569885, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9526124596595764, max_false: 0.8968133926391602, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8380074501037598, max_false: 0.7856713533401489, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9204584956169128, max_false: 0.8412280678749084, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8788530230522156, max_false: 0.8193339705467224, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8000712990760803, max_false: 0.8055640459060669, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7925131916999817, max_false: 0.7931175231933594, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9259428381919861, max_false: 0.9097713232040405, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8716341257095337, max_false: 0.8673740029335022, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9016780257225037, max_false: 0.886210560798645, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7612249255180359, max_false: 0.7584711313247681, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9561350345611572, max_false: 0.9003081917762756, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8562553524971008, max_false: 0.8341436982154846, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9072923064231873, max_false: 0.864638090133667, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.818282961845398, max_false: 0.8079118728637695, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7989497780799866, max_false: 0.8089761137962341, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8185866475105286, max_false: 0.8114696741104126, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9033153057098389, max_false: 0.7896278500556946, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7957359552383423, max_false: 0.715294361114502, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8349189162254333, max_false: 0.6995831727981567, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8377121090888977, max_false: 0.8497368097305298, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8191598057746887, max_false: 0.804507851600647, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8134486079216003, max_false: 0.7609449625015259, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9580787420272827, max_false: 0.9441214203834534, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9450873732566833, max_false: 0.9310405254364014, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9300336241722107, max_false: 0.879827082157135, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.709194540977478, max_false: 0.710207998752594, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.929120659828186, max_false: 0.8793195486068726, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8208335041999817, max_false: 0.7888424396514893, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9173246622085571, max_false: 0.8232920169830322, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9101279973983765, max_false: 0.8243833780288696, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9035009741783142, max_false: 0.8336420655250549, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9127603769302368, max_false: 0.8498488664627075, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9267696738243103, max_false: 0.8510280251502991, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8328539133071899, max_false: 0.8265610933303833, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.91550213098526, max_false: 0.8814523220062256, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6971860527992249, max_false: 0.6943453550338745, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9320225715637207, max_false: 0.88446444272995, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7444753646850586, max_false: 0.7043789625167847, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9309800267219543, max_false: 0.772517740726471, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8760080337524414, max_false: 0.728331446647644, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8840106725692749, max_false: 0.8535553216934204, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.878750205039978, max_false: 0.8892291188240051, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8994231224060059, max_false: 0.7545034289360046, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9014869332313538, max_false: 0.8585724830627441, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8995115756988525, max_false: 0.7739494442939758, correct: True
in: torch.Size([468, 3072]), out: torch.Size([3072]), max_true: 0.6959128379821777, max_false: 0.6294349431991577, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9429528713226318, max_false: 0.9098199605941772, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8255718946456909, max_false: 0.8246899843215942, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9361827373504639, max_false: 0.8942043781280518, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8709943294525146, max_false: 0.9119995832443237, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.901437520980835, max_false: 0.8676221370697021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7686594724655151, max_false: 0.7925474643707275, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9304712414741516, max_false: 0.8799074292182922, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8045573234558105, max_false: 0.7767208814620972, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8306070566177368, max_false: 0.7834584712982178, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9288724064826965, max_false: 0.8920513987541199, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9317986369132996, max_false: 0.8808350563049316, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8908782005310059, max_false: 0.8236641883850098, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.928242564201355, max_false: 0.9269680976867676, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8908237218856812, max_false: 0.8844714760780334, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9128994941711426, max_false: 0.9238571524620056, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8624579906463623, max_false: 0.824554443359375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9090532660484314, max_false: 0.806778609752655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7996690273284912, max_false: 0.7282012104988098, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9161602854728699, max_false: 0.8253053426742554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7109983563423157, max_false: 0.7172419428825378, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8960988521575928, max_false: 0.8916234374046326, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.873881995677948, max_false: 0.8637282252311707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.902769923210144, max_false: 0.8284783363342285, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8246748447418213, max_false: 0.7994621992111206, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9195307493209839, max_false: 0.7662261128425598, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9114453792572021, max_false: 0.8194460868835449, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8995151519775391, max_false: 0.878209114074707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8834736347198486, max_false: 0.831182062625885, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7092720866203308, max_false: 0.6359025239944458, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.42536380887031555, max_false: 0.5696398019790649, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9639244079589844, max_false: 0.8551276922225952, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9016515016555786, max_false: 0.7843935489654541, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9381844997406006, max_false: 0.8935638666152954, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9482965469360352, max_false: 0.8515663743019104, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9301786422729492, max_false: 0.907563328742981, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8795503377914429, max_false: 0.8596946001052856, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9095165133476257, max_false: 0.9016607999801636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8069475293159485, max_false: 0.8302416205406189, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9335627555847168, max_false: 0.9049967527389526, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8333477973937988, max_false: 0.8235829472541809, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9335785508155823, max_false: 0.7278627157211304, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.763383150100708, max_false: 0.5908007025718689, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.933440625667572, max_false: 0.9275569915771484, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8773971796035767, max_false: 0.8711638450622559, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9435275793075562, max_false: 0.8664147257804871, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8150348663330078, max_false: 0.8113244771957397, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8944428563117981, max_false: 0.8940733671188354, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8949152827262878, max_false: 0.8607717752456665, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9600552916526794, max_false: 0.9042032361030579, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7279567122459412, max_false: 0.6996183395385742, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8994213342666626, max_false: 0.9175236225128174, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8629965782165527, max_false: 0.852794885635376, correct: True
