experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9176689386367798, max_false: 0.8252825140953064, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8343745470046997, max_false: 0.8126306533813477, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8333808183670044, max_false: 0.8379369378089905, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7814230918884277, max_false: 0.8069262504577637, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9501367211341858, max_false: 0.8755661249160767, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.876028835773468, max_false: 0.8078635931015015, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9132974147796631, max_false: 0.8438251614570618, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8079730868339539, max_false: 0.8051830530166626, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8765232563018799, max_false: 0.8155820369720459, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8280794620513916, max_false: 0.8059539794921875, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8991482853889465, max_false: 0.872903048992157, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8851222991943359, max_false: 0.8728821873664856, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9476792216300964, max_false: 0.9015740156173706, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.856909990310669, max_false: 0.8191622495651245, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9189640879631042, max_false: 0.7738091945648193, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8895725011825562, max_false: 0.8345273733139038, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9525532722473145, max_false: 0.8967774510383606, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8413001894950867, max_false: 0.7888293862342834, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9215717315673828, max_false: 0.8433352112770081, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8784844875335693, max_false: 0.8202150464057922, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8010514378547668, max_false: 0.8066936731338501, correct: False
