experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9429824948310852, max_false: 0.9348471164703369, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9611825346946716, max_false: 0.9266063570976257, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9450090527534485, max_false: 0.9492399096488953, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9793119430541992, max_false: 0.9582202434539795, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9653922319412231, max_false: 0.9773125052452087, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9755687713623047, max_false: 0.9599079489707947, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9664761424064636, max_false: 0.9736015796661377, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9680599570274353, max_false: 0.9548681378364563, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9615024328231812, max_false: 0.9832200407981873, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9688501358032227, max_false: 0.9556728601455688, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9641615152359009, max_false: 0.9711654782295227, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9749537706375122, max_false: 0.9678610563278198, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9711492657661438, max_false: 0.9823183417320251, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9857291579246521, max_false: 0.9646446704864502, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9701255559921265, max_false: 0.9704118371009827, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9608792662620544, max_false: 0.945636510848999, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9677485227584839, max_false: 0.9832016825675964, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9729394316673279, max_false: 0.9636579155921936, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.95005202293396, max_false: 0.9561557173728943, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9757420420646667, max_false: 0.9558543562889099, correct: True
