experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9412816762924194, max_false: 0.9339872598648071, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9636410474777222, max_false: 0.9317729473114014, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.949820876121521, max_false: 0.9490084648132324, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9793145656585693, max_false: 0.9594961404800415, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9721298813819885, max_false: 0.9785652756690979, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9737435579299927, max_false: 0.96114182472229, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9680253863334656, max_false: 0.9746384024620056, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9686692953109741, max_false: 0.9568367600440979, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9650135636329651, max_false: 0.9857531189918518, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9652251601219177, max_false: 0.9534844160079956, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9616845846176147, max_false: 0.9707991480827332, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9748778939247131, max_false: 0.9658220410346985, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9717280864715576, max_false: 0.9817339181900024, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9875581860542297, max_false: 0.9669685959815979, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9720339775085449, max_false: 0.9714378118515015, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.962170422077179, max_false: 0.9448127746582031, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9691172242164612, max_false: 0.9836266040802002, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9729294776916504, max_false: 0.9641383290290833, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9527027010917664, max_false: 0.9571462869644165, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9746392369270325, max_false: 0.9570013880729675, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9607179164886475, max_false: 0.97975093126297, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9595317244529724, max_false: 0.9482380747795105, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.965231716632843, max_false: 0.9807600378990173, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9795202612876892, max_false: 0.9645264148712158, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9358338117599487, max_false: 0.9541395902633667, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8855763673782349, max_false: 0.8718675971031189, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.963291347026825, max_false: 0.9742236137390137, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9344245195388794, max_false: 0.8906568884849548, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9704972505569458, max_false: 0.9814568161964417, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9454799890518188, max_false: 0.9365115165710449, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9485358595848083, max_false: 0.95968097448349, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9636558294296265, max_false: 0.9597570896148682, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9710010886192322, max_false: 0.9788470268249512, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9724143147468567, max_false: 0.9535434246063232, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9241310954093933, max_false: 0.931007981300354, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9737578630447388, max_false: 0.9547093510627747, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9578828811645508, max_false: 0.9549856185913086, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9646480083465576, max_false: 0.9578441977500916, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9742321968078613, max_false: 0.9901753067970276, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9858018159866333, max_false: 0.9712256789207458, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9381411671638489, max_false: 0.9328761696815491, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9349108934402466, max_false: 0.9137148261070251, correct: True
