experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9617506861686707, max_false: 0.9315170645713806, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9511403441429138, max_false: 0.931772768497467, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9110475182533264, max_false: 0.9005646705627441, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9662255048751831, max_false: 0.9620293974876404, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9807820916175842, max_false: 0.9679077863693237, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9726045727729797, max_false: 0.9674376845359802, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9695282578468323, max_false: 0.953616738319397, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9619825482368469, max_false: 0.955212414264679, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9593918323516846, max_false: 0.976000189781189, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9615405797958374, max_false: 0.9627160429954529, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9793269038200378, max_false: 0.973538339138031, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9570533037185669, max_false: 0.9693454504013062, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9805436134338379, max_false: 0.9696083664894104, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9810972809791565, max_false: 0.9725356698036194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9878996014595032, max_false: 0.9619336128234863, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9607241153717041, max_false: 0.9578749537467957, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.990440309047699, max_false: 0.9845437407493591, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.964209794998169, max_false: 0.9651362895965576, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9811974167823792, max_false: 0.9624271988868713, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9698618650436401, max_false: 0.9562125205993652, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9755118489265442, max_false: 0.9822611212730408, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9495739936828613, max_false: 0.9516231417655945, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9764686822891235, max_false: 0.9789939522743225, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9704540371894836, max_false: 0.9625057578086853, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9578913450241089, max_false: 0.9515413641929626, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8678616285324097, max_false: 0.8660259246826172, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9832395315170288, max_false: 0.9758474826812744, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.927139401435852, max_false: 0.9016355872154236, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9775264859199524, max_false: 0.9699854850769043, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9324908256530762, max_false: 0.9269745349884033, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9457767009735107, max_false: 0.9521233439445496, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9480594396591187, max_false: 0.9659296870231628, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9800233244895935, max_false: 0.9725449085235596, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9671614766120911, max_false: 0.9580843448638916, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9716274738311768, max_false: 0.9590308666229248, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9788638353347778, max_false: 0.9744705557823181, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9631333947181702, max_false: 0.9452130198478699, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9606443643569946, max_false: 0.9507010579109192, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9807204604148865, max_false: 0.9902893900871277, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9783835411071777, max_false: 0.9774124622344971, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9634971618652344, max_false: 0.947399377822876, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8959438800811768, max_false: 0.9004824161529541, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9856573343276978, max_false: 0.9805615544319153, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8542866706848145, max_false: 0.8723252415657043, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9746813774108887, max_false: 0.9510721564292908, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9568389654159546, max_false: 0.9347407817840576, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9710735082626343, max_false: 0.9744248390197754, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9730590581893921, max_false: 0.9501152038574219, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9905118942260742, max_false: 0.9840103387832642, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9602084755897522, max_false: 0.9657926559448242, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.974031388759613, max_false: 0.9521192312240601, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.943429708480835, max_false: 0.9199367761611938, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9732024669647217, max_false: 0.9541128873825073, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9322707056999207, max_false: 0.9413570761680603, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9679188132286072, max_false: 0.9203545451164246, correct: True
