experiment run details:
  dataset: hoi
  model: pixtral openworld full
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9227842688560486, max_false: 0.93034827709198, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9410777688026428, max_false: 0.8931403756141663, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9487780332565308, max_false: 0.9576980471611023, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9014593362808228, max_false: 0.8759965300559998, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9166689515113831, max_false: 0.9008179306983948, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8657029867172241, max_false: 0.8306370377540588, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9326366782188416, max_false: 0.9377379417419434, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9269823431968689, max_false: 0.8938036561012268, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9389582872390747, max_false: 0.9389450550079346, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9341188669204712, max_false: 0.9163724184036255, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8702958822250366, max_false: 0.8939385414123535, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8974859714508057, max_false: 0.8715589046478271, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8599739074707031, max_false: 0.87075275182724, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9263167977333069, max_false: 0.9184308052062988, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9286892414093018, max_false: 0.9296088814735413, correct: False
