experiment run details:
  dataset: hoi
  model: pixtral openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.920486330986023, max_false: 0.9068322777748108, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9262599349021912, max_false: 0.8787919878959656, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9477072358131409, max_false: 0.9477194547653198, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8845216631889343, max_false: 0.8586642742156982, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9016382694244385, max_false: 0.8600555062294006, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8382573127746582, max_false: 0.8110651969909668, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9400712847709656, max_false: 0.9209516644477844, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9192259907722473, max_false: 0.905337393283844, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9439975619316101, max_false: 0.9267834424972534, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9263855814933777, max_false: 0.9162576794624329, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.887109637260437, max_false: 0.8849010467529297, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8807708621025085, max_false: 0.8761863112449646, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8185003399848938, max_false: 0.8127062916755676, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.901759147644043, max_false: 0.9151864647865295, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9161264896392822, max_false: 0.9135919213294983, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9395474791526794, max_false: 0.9390379786491394, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9460806846618652, max_false: 0.8905105590820312, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9264367818832397, max_false: 0.8715195655822754, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9556748270988464, max_false: 0.8948635458946228, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9123259782791138, max_false: 0.893096387386322, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.912369966506958, max_false: 0.9058427810668945, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9582133293151855, max_false: 0.9314107298851013, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9450860023498535, max_false: 0.9091379642486572, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.944191575050354, max_false: 0.9063540697097778, correct: True
