experiment run details:
  dataset: hoi
  model: pixtral openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.934195876121521, max_false: 0.9706441760063171, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9025924801826477, max_false: 0.8859179615974426, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9715238213539124, max_false: 0.9699490070343018, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7977943420410156, max_false: 0.797308623790741, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9408541321754456, max_false: 0.921334981918335, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9128158092498779, max_false: 0.8864010572433472, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9708082675933838, max_false: 0.947651743888855, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9244255423545837, max_false: 0.9242492318153381, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9771425127983093, max_false: 0.9610946178436279, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9665520191192627, max_false: 0.9682337641716003, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9053491950035095, max_false: 0.8944308757781982, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.961042046546936, max_false: 0.9458538889884949, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.774430513381958, max_false: 0.8277732729911804, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8810861110687256, max_false: 0.8432910442352295, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.929882287979126, max_false: 0.9079126119613647, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.950780987739563, max_false: 0.9605921506881714, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8971729874610901, max_false: 0.8578312993049622, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9679586887359619, max_false: 0.937841534614563, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9754917025566101, max_false: 0.9383109211921692, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9638387560844421, max_false: 0.9449597001075745, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9509819746017456, max_false: 0.9394415616989136, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9832751154899597, max_false: 0.9665119051933289, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9479796886444092, max_false: 0.8968026041984558, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9370903968811035, max_false: 0.8986934423446655, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.970497190952301, max_false: 0.9572862386703491, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7695069313049316, max_false: 0.7640979290008545, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9814642667770386, max_false: 0.9634954929351807, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9390026926994324, max_false: 0.8973668813705444, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9191948175430298, max_false: 0.9549986720085144, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8538344502449036, max_false: 0.8720255494117737, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9104287028312683, max_false: 0.899570643901825, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6590728759765625, max_false: 0.6308382153511047, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8313823938369751, max_false: 0.8631057739257812, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9452635049819946, max_false: 0.9650865793228149, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9653288722038269, max_false: 0.96317458152771, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9708707928657532, max_false: 0.9724305272102356, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9746348857879639, max_false: 0.9703826904296875, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9707244038581848, max_false: 0.9606917500495911, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9758392572402954, max_false: 0.9828592538833618, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9619948863983154, max_false: 0.9336410164833069, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9426954388618469, max_false: 0.9514889717102051, correct: False
