experiment run details:
  dataset: hoi
  model: pixtral openworld postfix
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9172443151473999, max_false: 0.9111354351043701, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9290618896484375, max_false: 0.8762393593788147, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9501029253005981, max_false: 0.9499310255050659, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8770785927772522, max_false: 0.8489779829978943, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9191662073135376, max_false: 0.8856652975082397, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.835369884967804, max_false: 0.8047890067100525, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9400665163993835, max_false: 0.9222739934921265, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9209179878234863, max_false: 0.9059008955955505, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9404028058052063, max_false: 0.9273078441619873, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9262532591819763, max_false: 0.9105382561683655, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8754009008407593, max_false: 0.8713681697845459, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8747122883796692, max_false: 0.8698588013648987, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8052090406417847, max_false: 0.810507595539093, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9095903635025024, max_false: 0.9195182919502258, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9217498302459717, max_false: 0.9116143584251404, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9406378269195557, max_false: 0.9376745223999023, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9436200261116028, max_false: 0.8954739570617676, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9262973070144653, max_false: 0.8693094849586487, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9573273658752441, max_false: 0.9034165740013123, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9222304821014404, max_false: 0.8976749181747437, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9131506085395813, max_false: 0.9094253182411194, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9591463208198547, max_false: 0.9310680627822876, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.941074013710022, max_false: 0.9128936529159546, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9453766345977783, max_false: 0.9067336916923523, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9348880052566528, max_false: 0.8963598012924194, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8921850919723511, max_false: 0.8431051969528198, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9503347277641296, max_false: 0.9335874915122986, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9471811056137085, max_false: 0.918580174446106, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9287223815917969, max_false: 0.93509441614151, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9018577933311462, max_false: 0.8566780686378479, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9355704188346863, max_false: 0.9147548675537109, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.954662561416626, max_false: 0.9073919057846069, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9432179927825928, max_false: 0.951930582523346, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9122770428657532, max_false: 0.9196221828460693, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9317269325256348, max_false: 0.915622353553772, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9224274158477783, max_false: 0.9280381798744202, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9495313763618469, max_false: 0.932017982006073, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9429731369018555, max_false: 0.9447867274284363, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9477022886276245, max_false: 0.9477942585945129, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9270196557044983, max_false: 0.869631826877594, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9097404479980469, max_false: 0.9116278886795044, correct: False
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9293774962425232, max_false: 0.9081992506980896, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9381110072135925, max_false: 0.9395782947540283, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9570795297622681, max_false: 0.9540717601776123, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.939049482345581, max_false: 0.9193081259727478, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9420720934867859, max_false: 0.9245291948318481, correct: True
