experiment run details:
  dataset: hoi
  model: pixtral openworld full
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8930567502975464, max_false: 0.47440585494041443, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8760477900505066, max_false: 0.3621414303779602, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9061339497566223, max_false: 0.47567057609558105, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7659882307052612, max_false: 0.433544397354126, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8829289078712463, max_false: 0.5856207013130188, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.7876542210578918, max_false: 0.39660194516181946, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8922154307365417, max_false: 0.6833280920982361, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8486739993095398, max_false: 0.2791810631752014, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9210484027862549, max_false: 0.603495717048645, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8762794733047485, max_false: 0.5910512804985046, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.37277084589004517, max_false: 0.7795617580413818, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7505218982696533, max_false: 0.4439740478992462, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.38377824425697327, max_false: 0.7230232954025269, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7386091351509094, max_false: 0.6698408126831055, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.7942759394645691, max_false: 0.8307396769523621, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.7390737533569336, max_false: 0.9072167277336121, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8470785617828369, max_false: 0.43148720264434814, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8716060519218445, max_false: 0.29812538623809814, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9170526266098022, max_false: 0.3916693329811096, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.6968856453895569, max_false: 0.6850523948669434, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.4153192639350891, max_false: 0.8281501531600952, correct: False
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.7986944317817688, max_false: 0.8811025619506836, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.761179506778717, max_false: 0.7469520568847656, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8425514698028564, max_false: 0.7178837656974792, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8356201648712158, max_false: 0.6108000874519348, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8702995181083679, max_false: 0.36078888177871704, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.855720579624176, max_false: 0.6514441967010498, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9017120003700256, max_false: 0.4140399992465973, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7333468198776245, max_false: 0.6805515885353088, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8618712425231934, max_false: 0.14587073028087616, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9304540157318115, max_false: 0.27013838291168213, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8176121711730957, max_false: 0.6968169212341309, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8828519582748413, max_false: 0.7405893206596375, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7936004996299744, max_false: 0.815478503704071, correct: False
