experiment run details:
  dataset: hoi
  model: pixtral openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.45302850008010864, max_false: 0.2784644663333893, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.6570270657539368, max_false: 0.06706587225198746, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.8515117168426514, max_false: 0.07409115880727768, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.5068082213401794, max_false: 0.11970146000385284, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.6895778179168701, max_false: 0.13128748536109924, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.49992215633392334, max_false: 0.02215379849076271, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6816327571868896, max_false: 0.08990035951137543, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6736112833023071, max_false: 0.006044825538992882, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6004252433776855, max_false: 0.45042186975479126, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.6395303606987, max_false: 0.28497079014778137, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.02392679452896118, max_false: 0.6643785238265991, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.5545614957809448, max_false: 0.34243038296699524, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.30527418851852417, max_false: 0.5299115180969238, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.4309884011745453, max_false: 0.31709039211273193, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.737663209438324, max_false: 0.09814874827861786, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.027227062731981277, max_false: 0.8145232200622559, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7175262570381165, max_false: 0.09604141861200333, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7311078906059265, max_false: 0.018649872392416, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8451847434043884, max_false: 0.06724332273006439, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.5767057538032532, max_false: 0.4376062750816345, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: -0.08195723593235016, max_false: 0.6706135869026184, correct: False
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.2796592116355896, max_false: 0.5192400217056274, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.2942771017551422, max_false: 0.46955356001853943, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7915095686912537, max_false: 0.19351619482040405, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6213967204093933, max_false: 0.12378653138875961, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7641052603721619, max_false: -0.08843038231134415, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.7512686848640442, max_false: 0.3145054280757904, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.7834826707839966, max_false: -0.17084799706935883, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.41901126503944397, max_false: 0.48386651277542114, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.6131795048713684, max_false: -0.18734610080718994, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7271646857261658, max_false: 0.016622358933091164, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6606253981590271, max_false: 0.2615411579608917, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7227662205696106, max_false: -0.09044209867715836, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: -0.11977223306894302, max_false: 0.7693110108375549, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.5543603897094727, max_false: 0.2970450818538666, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.30682316422462463, max_false: 0.4924480617046356, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8176184892654419, max_false: -0.00850137323141098, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.10497120022773743, max_false: 0.6839208602905273, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8086833953857422, max_false: 0.10132177919149399, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.6790607571601868, max_false: -0.10626637935638428, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.541833758354187, max_false: 0.2455902397632599, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.4721183776855469, max_false: 0.30348432064056396, correct: True
