experiment run details:
  dataset: hoi
  model: pixtral openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9189361929893494, max_false: 0.9725261926651001, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8998253345489502, max_false: 0.8919745683670044, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9762361645698547, max_false: 0.9766082167625427, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8723046779632568, max_false: 0.8772498369216919, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9522147178649902, max_false: 0.9350925087928772, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9093710780143738, max_false: 0.8846211433410645, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9686825275421143, max_false: 0.9450389742851257, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9396971464157104, max_false: 0.93828284740448, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9824041128158569, max_false: 0.9683725237846375, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9652605652809143, max_false: 0.9760383367538452, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8844103813171387, max_false: 0.8761759400367737, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9610759615898132, max_false: 0.9589778184890747, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8588343858718872, max_false: 0.8908644318580627, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8842365741729736, max_false: 0.8510099053382874, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9315544962882996, max_false: 0.9114863872528076, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9539710879325867, max_false: 0.9650464653968811, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.901046097278595, max_false: 0.8671108484268188, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9713693261146545, max_false: 0.9411956667900085, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9716772437095642, max_false: 0.9410980939865112, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9619444608688354, max_false: 0.9295702576637268, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9511951804161072, max_false: 0.9380066394805908, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9851909875869751, max_false: 0.9671489000320435, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9273276925086975, max_false: 0.8693641424179077, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9767479300498962, max_false: 0.9475077390670776, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9764949679374695, max_false: 0.9582078456878662, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7514651417732239, max_false: 0.7580065131187439, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9790960550308228, max_false: 0.9697797298431396, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.938097357749939, max_false: 0.9048519134521484, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9226185083389282, max_false: 0.9615041017532349, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8412548303604126, max_false: 0.8745423555374146, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9648769497871399, max_false: 0.9553384780883789, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6574994325637817, max_false: 0.6262817978858948, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8306654691696167, max_false: 0.8768421411514282, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9378209114074707, max_false: 0.9626468420028687, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9636486768722534, max_false: 0.960871696472168, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.969778299331665, max_false: 0.9672020077705383, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9823177456855774, max_false: 0.9742487072944641, correct: True
