experiment run details:
  dataset: openworld
  model: pixtral hoi full
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8955574035644531, max_false: 0.8900143504142761, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8851802349090576, max_false: 0.8397101163864136, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8928841948509216, max_false: 0.9136536717414856, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.881960928440094, max_false: 0.8466023802757263, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9184481501579285, max_false: 0.9029090404510498, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.939939558506012, max_false: 0.8895215392112732, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9347875118255615, max_false: 0.9318137168884277, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9021986126899719, max_false: 0.9273602366447449, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9142481088638306, max_false: 0.9114329218864441, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8915594220161438, max_false: 0.874518871307373, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8751893043518066, max_false: 0.8732216358184814, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8718456029891968, max_false: 0.8955704569816589, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9371037483215332, max_false: 0.9127995371818542, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9030849933624268, max_false: 0.85004723072052, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9418869018554688, max_false: 0.8816379308700562, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9158374071121216, max_false: 0.8572612404823303, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9393064975738525, max_false: 0.920358419418335, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9138576984405518, max_false: 0.8863950967788696, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8932955861091614, max_false: 0.8841675519943237, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9287277460098267, max_false: 0.91523277759552, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8751971125602722, max_false: 0.8814467787742615, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8522199392318726, max_false: 0.8396629691123962, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9413757920265198, max_false: 0.9442347884178162, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8593868017196655, max_false: 0.8513973355293274, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.91281658411026, max_false: 0.9197686314582825, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.850568413734436, max_false: 0.8354176878929138, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9396530985832214, max_false: 0.9332204461097717, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9466310739517212, max_false: 0.9171761274337769, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9204940795898438, max_false: 0.9044224619865417, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8898650407791138, max_false: 0.8943724036216736, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8905041813850403, max_false: 0.9256420135498047, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.9024875164031982, max_false: 0.9115254878997803, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9095677137374878, max_false: 0.8840010762214661, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8416924476623535, max_false: 0.8113675713539124, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.7730408906936646, max_false: 0.6953822374343872, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.900660514831543, max_false: 0.8865394592285156, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8611231446266174, max_false: 0.8556273579597473, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8924257755279541, max_false: 0.8201848268508911, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9529505968093872, max_false: 0.951541543006897, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.910368025302887, max_false: 0.8947488069534302, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9353996515274048, max_false: 0.9181286692619324, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8523614406585693, max_false: 0.8438051342964172, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9287832975387573, max_false: 0.9295276999473572, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8641348481178284, max_false: 0.856569766998291, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9471188187599182, max_false: 0.8895993232727051, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8476534485816956, max_false: 0.8082476854324341, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9421242475509644, max_false: 0.9131131172180176, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8994162678718567, max_false: 0.8881569504737854, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9414237141609192, max_false: 0.9094297885894775, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8944605588912964, max_false: 0.8879184126853943, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9227790236473083, max_false: 0.914728045463562, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8292121291160583, max_false: 0.8122795224189758, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9147857427597046, max_false: 0.9250823855400085, correct: False
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.8708263635635376, max_false: 0.8528711199760437, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9563303589820862, max_false: 0.8659259676933289, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9086346626281738, max_false: 0.7980871796607971, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9011945724487305, max_false: 0.890168309211731, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.887177586555481, max_false: 0.8890360593795776, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9083513617515564, max_false: 0.8813176155090332, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9122893214225769, max_false: 0.8692128658294678, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.931103527545929, max_false: 0.8895694017410278, correct: True
in: torch.Size([111, 5120]), out: torch.Size([5120]), max_true: 0.8972294330596924, max_false: 0.8563762903213501, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9323061108589172, max_false: 0.9441742897033691, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8778891563415527, max_false: 0.870211124420166, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9277567267417908, max_false: 0.9338362812995911, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.907004177570343, max_false: 0.9071416854858398, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9033969640731812, max_false: 0.8919275999069214, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9169871211051941, max_false: 0.895793616771698, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9260802268981934, max_false: 0.9187630414962769, correct: True
in: torch.Size([195, 5120]), out: torch.Size([5120]), max_true: 0.8814474940299988, max_false: 0.857556939125061, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8933191895484924, max_false: 0.8709476590156555, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9547790288925171, max_false: 0.9054391980171204, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9161869287490845, max_false: 0.9227433800697327, correct: False
