experiment run details:
  dataset: openworld
  model: pixtral hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9046370983123779, max_false: 0.8730948567390442, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8802478313446045, max_false: 0.8446768522262573, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9210811257362366, max_false: 0.897369921207428, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8580679893493652, max_false: 0.8191468715667725, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9209156632423401, max_false: 0.8905826210975647, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9315593242645264, max_false: 0.8691304326057434, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9405049085617065, max_false: 0.9103716015815735, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8906749486923218, max_false: 0.91944819688797, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9139372706413269, max_false: 0.8909800052642822, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8881176710128784, max_false: 0.861912727355957, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8864858150482178, max_false: 0.8427132368087769, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8384172320365906, max_false: 0.8780364394187927, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9477531909942627, max_false: 0.8775951266288757, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9038594961166382, max_false: 0.8534035682678223, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9353539943695068, max_false: 0.8408865928649902, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9192688465118408, max_false: 0.8334052562713623, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9329389333724976, max_false: 0.9075185060501099, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8964202404022217, max_false: 0.8687169551849365, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9111458659172058, max_false: 0.8675228357315063, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9180903434753418, max_false: 0.9106849431991577, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8797395825386047, max_false: 0.8780253529548645, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8298421502113342, max_false: 0.8286386728286743, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.947256326675415, max_false: 0.9347244501113892, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8589519262313843, max_false: 0.8582903742790222, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9263119697570801, max_false: 0.9081799983978271, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8280749917030334, max_false: 0.8156840801239014, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9567859172821045, max_false: 0.9199512004852295, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9385526180267334, max_false: 0.904602587223053, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9450494050979614, max_false: 0.9014257192611694, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8729942440986633, max_false: 0.8922275900840759, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8631471991539001, max_false: 0.896952748298645, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.8710322976112366, max_false: 0.8886775970458984, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9310128092765808, max_false: 0.8704289793968201, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.833812415599823, max_false: 0.7946990728378296, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.7523095607757568, max_false: 0.6450706720352173, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.879120945930481, max_false: 0.8704681396484375, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8847029209136963, max_false: 0.824868381023407, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8675599694252014, max_false: 0.8077932000160217, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9607168436050415, max_false: 0.9472017884254456, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8979490995407104, max_false: 0.8925754427909851, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9451034665107727, max_false: 0.9001263976097107, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8459035754203796, max_false: 0.8416312336921692, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9392633438110352, max_false: 0.9176103472709656, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8657748699188232, max_false: 0.8607743382453918, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9536864757537842, max_false: 0.8808805346488953, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8678419589996338, max_false: 0.8255627751350403, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.936392068862915, max_false: 0.8937666416168213, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8761647343635559, max_false: 0.8541007041931152, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9492580890655518, max_false: 0.887321949005127, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8846746683120728, max_false: 0.8869160413742065, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9113973379135132, max_false: 0.8916749954223633, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8045989274978638, max_false: 0.7699882388114929, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9306795001029968, max_false: 0.9229676723480225, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.8667351007461548, max_false: 0.8585954904556274, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9673178791999817, max_false: 0.8662980198860168, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9163367748260498, max_false: 0.8098294734954834, correct: True
