experiment run details:
  dataset: openworld
  model: pixtral hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7765726447105408, max_false: 0.6120748519897461, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9585493206977844, max_false: 0.8374934196472168, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.7245698571205139, max_false: 0.645085871219635, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.914391040802002, max_false: 0.9055987000465393, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9313794374465942, max_false: 0.9572003483772278, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8268285393714905, max_false: 0.8378030061721802, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9610980749130249, max_false: 0.9653428792953491, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9207550883293152, max_false: 0.8847531080245972, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.95145583152771, max_false: 0.9439329504966736, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.875454843044281, max_false: 0.8857614994049072, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7506632208824158, max_false: 0.7720946073532104, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.5890384912490845, max_false: 0.6064751148223877, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9180452227592468, max_false: 0.8048253655433655, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9360558986663818, max_false: 0.9049589037895203, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8818329572677612, max_false: 0.7723201513290405, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9695076942443848, max_false: 0.9255248308181763, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.962777853012085, max_false: 0.9477652907371521, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9346025586128235, max_false: 0.9546291828155518, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9038040637969971, max_false: 0.8320084810256958, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7729450464248657, max_false: 0.7576804161071777, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9756312966346741, max_false: 0.9724226593971252, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9236931800842285, max_false: 0.9232285022735596, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9674467444419861, max_false: 0.962986946105957, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.837283730506897, max_false: 0.8387089371681213, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9039432406425476, max_false: 0.9579904079437256, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.915958821773529, max_false: 0.9144904017448425, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9765140414237976, max_false: 0.9611495137214661, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9600698351860046, max_false: 0.9489380121231079, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9518970251083374, max_false: 0.9466162323951721, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9224768280982971, max_false: 0.9229553937911987, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9322468042373657, max_false: 0.9434639811515808, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.9044926762580872, max_false: 0.901381254196167, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.959750235080719, max_false: 0.9231904745101929, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8569161295890808, max_false: 0.8463616967201233, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.42180079221725464, max_false: 0.48178595304489136, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9522537589073181, max_false: 0.9670132398605347, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9261924624443054, max_false: 0.9150756001472473, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9394413232803345, max_false: 0.8707600831985474, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8623385429382324, max_false: 0.8703829050064087, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9678633809089661, max_false: 0.9536690711975098, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9666667580604553, max_false: 0.973965048789978, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9542306065559387, max_false: 0.9420890212059021, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8710091710090637, max_false: 0.8697318434715271, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.935017466545105, max_false: 0.931294858455658, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9694467782974243, max_false: 0.9489307999610901, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8308843374252319, max_false: 0.7768236994743347, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9690125584602356, max_false: 0.9590483903884888, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9687827825546265, max_false: 0.9542266130447388, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9838725328445435, max_false: 0.9454333782196045, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7327883243560791, max_false: 0.7588034272193909, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8022278547286987, max_false: 0.7765286564826965, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8885345458984375, max_false: 0.8703444004058838, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9601505994796753, max_false: 0.9549681544303894, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.9091417789459229, max_false: 0.9055006504058838, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9830385446548462, max_false: 0.9484174251556396, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9551544189453125, max_false: 0.9252389669418335, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9702839255332947, max_false: 0.9568228721618652, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8867893218994141, max_false: 0.8871145248413086, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9580848217010498, max_false: 0.9325464963912964, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9576696157455444, max_false: 0.9389188885688782, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.935448408126831, max_false: 0.9063087701797485, correct: True
in: torch.Size([111, 5120]), out: torch.Size([5120]), max_true: 0.9319595098495483, max_false: 0.9146194458007812, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9579676389694214, max_false: 0.9715970158576965, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9327037930488586, max_false: 0.8992840051651001, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9583871364593506, max_false: 0.947531521320343, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9234695434570312, max_false: 0.9549498558044434, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8791895508766174, max_false: 0.7661314010620117, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9559412002563477, max_false: 0.9523276686668396, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7664635181427002, max_false: 0.5802337527275085, correct: True
in: torch.Size([195, 5120]), out: torch.Size([5120]), max_true: 0.8122949600219727, max_false: 0.8602362871170044, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9059499502182007, max_false: 0.948844313621521, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8587750196456909, max_false: 0.8712705969810486, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9547950625419617, max_false: 0.9213055372238159, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8313441276550293, max_false: 0.846518874168396, correct: False
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.9800628423690796, max_false: 0.9822586178779602, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9750027060508728, max_false: 0.9732917547225952, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9709031581878662, max_false: 0.9640768766403198, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.5662947297096252, max_false: 0.5636714696884155, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.980922281742096, max_false: 0.9582562446594238, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9255067110061646, max_false: 0.9037562608718872, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.876595675945282, max_false: 0.7395145893096924, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.955564022064209, max_false: 0.8811859488487244, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8935322761535645, max_false: 0.9461891651153564, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9533879160881042, max_false: 0.9296900033950806, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8345268964767456, max_false: 0.8002318739891052, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8622188568115234, max_false: 0.8649947643280029, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8640211224555969, max_false: 0.7428417205810547, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9377074837684631, max_false: 0.9104482531547546, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9602572321891785, max_false: 0.8989871144294739, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.881273627281189, max_false: 0.7899996042251587, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8041105270385742, max_false: 0.608160674571991, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.4627585709095001, max_false: 0.501905620098114, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9667355418205261, max_false: 0.9442726969718933, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9627992510795593, max_false: 0.9273843765258789, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9331897497177124, max_false: 0.9386399388313293, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9188166260719299, max_false: 0.8741941452026367, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9735088348388672, max_false: 0.9617634415626526, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9291470050811768, max_false: 0.9328078031539917, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.948184072971344, max_false: 0.9386642575263977, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9585879445075989, max_false: 0.9606264233589172, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8377376794815063, max_false: 0.8495749235153198, correct: False
