experiment run details:
  dataset: openworld
  model: pixtral hoi full
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9084787368774414, max_false: 0.7192121148109436, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.7723679542541504, max_false: 0.7185012102127075, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8873651027679443, max_false: 0.7626205682754517, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7110813856124878, max_false: 0.5831676721572876, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.798570454120636, max_false: 0.6770883202552795, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.862520694732666, max_false: 0.7222463488578796, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8817824125289917, max_false: 0.7959656715393066, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7412240505218506, max_false: 0.7969445586204529, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.7866752743721008, max_false: 0.7639954686164856, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8029801845550537, max_false: 0.7539404630661011, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7681096792221069, max_false: 0.7023459672927856, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7217966318130493, max_false: 0.7937043905258179, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8893018364906311, max_false: 0.6798378825187683, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.765034556388855, max_false: 0.5729929208755493, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8908268213272095, max_false: 0.5817859172821045, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.82844078540802, max_false: 0.583756685256958, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8950973749160767, max_false: 0.7436555624008179, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.7865253686904907, max_false: 0.6228289604187012, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9219554662704468, max_false: 0.6614373326301575, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8080480694770813, max_false: 0.661108672618866, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.699695348739624, max_false: 0.7296563982963562, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7380644679069519, max_false: 0.6760423183441162, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8105970025062561, max_false: 0.8137550950050354, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.752197802066803, max_false: 0.719378650188446, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8989923000335693, max_false: 0.7782739400863647, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.69422847032547, max_false: 0.6230632066726685, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9361816644668579, max_false: 0.709524393081665, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8330225348472595, max_false: 0.7343329787254333, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8767082691192627, max_false: 0.7316849231719971, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.7085862159729004, max_false: 0.7830104827880859, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.783191978931427, max_false: 0.8362970352172852, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.742438554763794, max_false: 0.7932687401771545, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8898540139198303, max_false: 0.6860693693161011, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7175254225730896, max_false: 0.6228360533714294, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.6755936145782471, max_false: 0.4049950838088989, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.7681906223297119, max_false: 0.6562034487724304, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7430578470230103, max_false: 0.6792222261428833, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.7169962525367737, max_false: 0.6212815046310425, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9157867431640625, max_false: 0.8236578106880188, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.7265927791595459, max_false: 0.7783877849578857, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9150047302246094, max_false: 0.7520012855529785, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.6634265780448914, max_false: 0.6001289486885071, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9030590057373047, max_false: 0.7553951740264893, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.7273196578025818, max_false: 0.6599307060241699, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8932508826255798, max_false: 0.682231605052948, correct: True
