experiment run details:
  dataset: openworld
  model: pixtral hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6705060005187988, max_false: 0.49824050068855286, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.4986335039138794, max_false: 0.4771949350833893, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.6977828145027161, max_false: 0.6229285597801208, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.40186989307403564, max_false: 0.35640382766723633, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.45244166254997253, max_false: 0.36731353402137756, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6804818511009216, max_false: 0.4437462389469147, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7268157601356506, max_false: 0.6178638339042664, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.46888336539268494, max_false: 0.6147807240486145, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.6111479997634888, max_false: 0.48614686727523804, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.6923955678939819, max_false: 0.5998280048370361, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.5025163292884827, max_false: 0.3825494647026062, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.36163556575775146, max_false: 0.40391603112220764, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8146731853485107, max_false: 0.3680573105812073, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.38052502274513245, max_false: 0.21219849586486816, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6193187236785889, max_false: 0.3452787399291992, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.49590393900871277, max_false: 0.33698925375938416, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.793958306312561, max_false: 0.590950608253479, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.5989404916763306, max_false: 0.41871118545532227, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7760521173477173, max_false: 0.6368051171302795, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.4039774537086487, max_false: 0.3115347921848297, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.5018661618232727, max_false: 0.454193651676178, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.43084099888801575, max_false: 0.43141892552375793, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.683306872844696, max_false: 0.4640347361564636, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.37944549322128296, max_false: 0.2163659632205963, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7536871433258057, max_false: 0.6650872230529785, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.47849005460739136, max_false: 0.42646849155426025, correct: True
