experiment run details:
  dataset: openworld
  model: pixtral hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6960917711257935, max_false: 0.6570682525634766, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9593033194541931, max_false: 0.912073016166687, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9707244038581848, max_false: 0.9276971817016602, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8395781517028809, max_false: 0.8133272528648376, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9515523910522461, max_false: 0.9640321731567383, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9488505721092224, max_false: 0.9441136121749878, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9531932473182678, max_false: 0.9362257719039917, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9524941444396973, max_false: 0.9410972595214844, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9102041125297546, max_false: 0.8455458283424377, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8466147780418396, max_false: 0.8904399871826172, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8749635219573975, max_false: 0.8748109340667725, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.939903736114502, max_false: 0.9583330154418945, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9749830365180969, max_false: 0.9537590146064758, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9215205907821655, max_false: 0.9034044146537781, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9784013628959656, max_false: 0.9614207148551941, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9538472890853882, max_false: 0.9322516918182373, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9693053364753723, max_false: 0.9585328698158264, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9631958603858948, max_false: 0.9456647038459778, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9779112339019775, max_false: 0.9493653774261475, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9407913088798523, max_false: 0.9197971224784851, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9771825075149536, max_false: 0.9771662950515747, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.903215765953064, max_false: 0.9125515222549438, correct: False
