experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.920559287071228, max_false: 0.9247006177902222, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9420951008796692, max_false: 0.8960309624671936, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9547306299209595, max_false: 0.9593594074249268, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.909044623374939, max_false: 0.8781702518463135, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9106406569480896, max_false: 0.898278534412384, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8687740564346313, max_false: 0.8390359878540039, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9304842948913574, max_false: 0.9357317090034485, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9314662218093872, max_false: 0.907037079334259, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9336405396461487, max_false: 0.932052731513977, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9305209517478943, max_false: 0.9141265749931335, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8769559860229492, max_false: 0.8880730867385864, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8979290723800659, max_false: 0.8783677816390991, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8642453551292419, max_false: 0.8656145334243774, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9301035404205322, max_false: 0.927210807800293, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9336162805557251, max_false: 0.931016743183136, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.951187014579773, max_false: 0.9456558227539062, correct: True
