experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9238675236701965, max_false: 0.9320211410522461, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9463355541229248, max_false: 0.8993585109710693, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9548627734184265, max_false: 0.9648650884628296, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9079779386520386, max_false: 0.8719146251678467, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9184417724609375, max_false: 0.9023655652999878, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8676444888114929, max_false: 0.8387477993965149, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9342361092567444, max_false: 0.9347953200340271, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9391219019889832, max_false: 0.9148837327957153, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9504560232162476, max_false: 0.9481551051139832, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9407228827476501, max_false: 0.9271808862686157, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8893880248069763, max_false: 0.8947768211364746, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8986431956291199, max_false: 0.8835681676864624, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8707640767097473, max_false: 0.8759453296661377, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9300450682640076, max_false: 0.9278185963630676, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9304655194282532, max_false: 0.9338918328285217, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9576514363288879, max_false: 0.9470058083534241, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9415245652198792, max_false: 0.9249067902565002, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9450242519378662, max_false: 0.9029623866081238, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.956240713596344, max_false: 0.9178218245506287, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9158241152763367, max_false: 0.8997189998626709, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9144569039344788, max_false: 0.9214155077934265, correct: False
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9695969223976135, max_false: 0.9388132691383362, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9402870535850525, max_false: 0.9230564832687378, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9529839754104614, max_false: 0.9035347104072571, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9513705372810364, max_false: 0.9372484683990479, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9239727854728699, max_false: 0.8840439915657043, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9478667974472046, max_false: 0.9500240087509155, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9541769623756409, max_false: 0.9237611293792725, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9407880902290344, max_false: 0.9513877630233765, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.922856867313385, max_false: 0.884580135345459, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9429346323013306, max_false: 0.9290776252746582, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9654445052146912, max_false: 0.9232043623924255, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.956084132194519, max_false: 0.9664300680160522, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9322738647460938, max_false: 0.9276142120361328, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9314115643501282, max_false: 0.9293714761734009, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9419641494750977, max_false: 0.9366639256477356, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.956413209438324, max_false: 0.951528012752533, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9548863172531128, max_false: 0.9499266147613525, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9527238011360168, max_false: 0.9605962038040161, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9390427470207214, max_false: 0.888016939163208, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9134134650230408, max_false: 0.9237323999404907, correct: False
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9385302066802979, max_false: 0.912927508354187, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9440521597862244, max_false: 0.9483593702316284, correct: False
