----- test_seen_obj_seen_act -----
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9357576370239258, max_false: 0.9123489260673523, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9315896034240723, max_false: 0.8791822791099548, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9620205760002136, max_false: 0.9563907384872437, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8763265013694763, max_false: 0.8566427230834961, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.927476704120636, max_false: 0.8882495760917664, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8559556603431702, max_false: 0.8373541831970215, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9323930144309998, max_false: 0.9094237089157104, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9268620610237122, max_false: 0.9111580848693848, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9411556124687195, max_false: 0.9168606400489807, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.92680424451828, max_false: 0.910392701625824, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8965144157409668, max_false: 0.8909904360771179, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.879176676273346, max_false: 0.8794589638710022, correct: False
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.836870551109314, max_false: 0.8256741166114807, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9059261679649353, max_false: 0.9263454079627991, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9149187803268433, max_false: 0.8998863697052002, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.945268452167511, max_false: 0.9373730421066284, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9432403445243835, max_false: 0.8894012570381165, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9282249212265015, max_false: 0.858116865158081, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9549734592437744, max_false: 0.8860127925872803, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9121289253234863, max_false: 0.8933576345443726, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9197301864624023, max_false: 0.905265748500824, correct: True
