experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9376229047775269, max_false: 0.9198839068412781, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9402345418930054, max_false: 0.8835326433181763, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9592867493629456, max_false: 0.9582229256629944, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8872120380401611, max_false: 0.8601794242858887, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9222649335861206, max_false: 0.888555109500885, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8595771193504333, max_false: 0.8360142707824707, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9375759363174438, max_false: 0.9153071641921997, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9196329712867737, max_false: 0.9000743627548218, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9479358792304993, max_false: 0.9348232746124268, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9288963079452515, max_false: 0.9031547904014587, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.894377589225769, max_false: 0.8905423879623413, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8757297396659851, max_false: 0.875706672668457, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.8221572041511536, max_false: 0.816761314868927, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9084281325340271, max_false: 0.9263874888420105, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9219286441802979, max_false: 0.9006362557411194, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9420869946479797, max_false: 0.9418503046035767, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9433349967002869, max_false: 0.8994776010513306, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9265454411506653, max_false: 0.8471512198448181, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9567606449127197, max_false: 0.8957632780075073, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.915472149848938, max_false: 0.8865123391151428, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9119817018508911, max_false: 0.9060242176055908, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9581353068351746, max_false: 0.9364470839500427, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9356321692466736, max_false: 0.9071246981620789, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9602331519126892, max_false: 0.9147325158119202, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9429168105125427, max_false: 0.9048341512680054, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9126538038253784, max_false: 0.8593807816505432, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9626718163490295, max_false: 0.9468672275543213, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9510692954063416, max_false: 0.9173623323440552, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9385992288589478, max_false: 0.9455239772796631, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9148346185684204, max_false: 0.8719494342803955, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9400217533111572, max_false: 0.9111555814743042, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.957602858543396, max_false: 0.8939290046691895, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9503005146980286, max_false: 0.9587410688400269, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9343189597129822, max_false: 0.9321808218955994, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9260584115982056, max_false: 0.9060307741165161, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9212753772735596, max_false: 0.9347019195556641, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.956202507019043, max_false: 0.937677264213562, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9412519335746765, max_false: 0.9434682130813599, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9521607756614685, max_false: 0.9479149580001831, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9424030780792236, max_false: 0.875281572341919, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9079908132553101, max_false: 0.9148374795913696, correct: False
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9432535767555237, max_false: 0.9183323979377747, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9482303261756897, max_false: 0.9509868025779724, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.957858681678772, max_false: 0.9582759737968445, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9383344650268555, max_false: 0.9146342277526855, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9515440464019775, max_false: 0.9301712512969971, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9611226916313171, max_false: 0.9411458373069763, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8775252103805542, max_false: 0.8774263262748718, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9515715837478638, max_false: 0.9140939116477966, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.9475258588790894, max_false: 0.9201124310493469, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9185603857040405, max_false: 0.91722571849823, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.939793050289154, max_false: 0.956242024898529, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9560463428497314, max_false: 0.925201416015625, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.903764545917511, max_false: 0.8766494393348694, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9367602467536926, max_false: 0.9386677742004395, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9035088419914246, max_false: 0.8818380832672119, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9388440251350403, max_false: 0.9031882882118225, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8937913775444031, max_false: 0.8865490555763245, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.9455282688140869, max_false: 0.9414254426956177, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9491074681282043, max_false: 0.9486410021781921, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.9057439565658569, max_false: 0.9493660926818848, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9632925391197205, max_false: 0.8827430605888367, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9507408738136292, max_false: 0.9536618590354919, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9528659582138062, max_false: 0.9252679944038391, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9456915855407715, max_false: 0.955132246017456, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9464061260223389, max_false: 0.9213680624961853, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9505550265312195, max_false: 0.9486225247383118, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9508517384529114, max_false: 0.9296495318412781, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.940463125705719, max_false: 0.9293512105941772, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8767412900924683, max_false: 0.899084210395813, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9430018067359924, max_false: 0.9592119455337524, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.934781014919281, max_false: 0.9382572174072266, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8773388862609863, max_false: 0.8944945335388184, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9478855133056641, max_false: 0.9202578663825989, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9458327889442444, max_false: 0.9290024638175964, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9486410021781921, max_false: 0.9042938351631165, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9437654614448547, max_false: 0.9576038122177124, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9553425908088684, max_false: 0.9355263113975525, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9036473631858826, max_false: 0.8801879286766052, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8705518245697021, max_false: 0.9011359214782715, correct: False
