experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9164992570877075, max_false: 0.9716545939445496, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8833252787590027, max_false: 0.87453693151474, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9651590585708618, max_false: 0.9671518206596375, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7832918167114258, max_false: 0.7898262739181519, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9279724359512329, max_false: 0.921273410320282, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9067385792732239, max_false: 0.8774130344390869, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9664207696914673, max_false: 0.9456785321235657, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9462261199951172, max_false: 0.9318634867668152, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9782293438911438, max_false: 0.9563475847244263, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.965390682220459, max_false: 0.9670965671539307, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8953050374984741, max_false: 0.8840832710266113, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9613857269287109, max_false: 0.9374732971191406, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.7568780183792114, max_false: 0.8317990899085999, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8943668603897095, max_false: 0.8427470922470093, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9145883321762085, max_false: 0.8848500847816467, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9417888522148132, max_false: 0.9574078321456909, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8847209215164185, max_false: 0.8509868383407593, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9598695039749146, max_false: 0.9304004907608032, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9683408141136169, max_false: 0.927819013595581, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9527069330215454, max_false: 0.9434005618095398, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9455649256706238, max_false: 0.9360373616218567, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9828745126724243, max_false: 0.967436671257019, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9513969421386719, max_false: 0.8911155462265015, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9106900691986084, max_false: 0.877513587474823, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9738907217979431, max_false: 0.9595905542373657, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7507199645042419, max_false: 0.7340417504310608, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.983216404914856, max_false: 0.952285885810852, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9156995415687561, max_false: 0.8641528487205505, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.917724609375, max_false: 0.9602013826370239, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8439550995826721, max_false: 0.8684523105621338, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9287393093109131, max_false: 0.8913242816925049, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6472498774528503, max_false: 0.6682927012443542, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8242868781089783, max_false: 0.8287598490715027, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9406200051307678, max_false: 0.9608269929885864, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.908216118812561, max_false: 0.9095395803451538, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9663199186325073, max_false: 0.9700149297714233, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9756285548210144, max_false: 0.9729838371276855, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9722347259521484, max_false: 0.9647103548049927, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9750847220420837, max_false: 0.9814303517341614, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9631969332695007, max_false: 0.9367250204086304, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9411554336547852, max_false: 0.9509057402610779, correct: False
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9065404534339905, max_false: 0.9205744862556458, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9727315902709961, max_false: 0.96690434217453, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9741535186767578, max_false: 0.9802696108818054, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9879342317581177, max_false: 0.9721230864524841, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9694090485572815, max_false: 0.9765092730522156, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9780145883560181, max_false: 0.9668596982955933, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9306302070617676, max_false: 0.9539003372192383, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9792581796646118, max_false: 0.9351018071174622, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.9515371322631836, max_false: 0.9442299604415894, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9476081132888794, max_false: 0.9385811686515808, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.907313346862793, max_false: 0.9215754866600037, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9846282601356506, max_false: 0.9638851284980774, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9331908226013184, max_false: 0.9075152277946472, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9804076552391052, max_false: 0.9736003875732422, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9285604357719421, max_false: 0.9287891983985901, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9536624550819397, max_false: 0.9380815029144287, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.959399938583374, max_false: 0.9615916609764099, correct: False
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.9284762144088745, max_false: 0.9687402248382568, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9791094660758972, max_false: 0.9284631013870239, correct: True
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.6295090913772583, max_false: 0.6058905124664307, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8497151136398315, max_false: 0.7795802354812622, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9728733897209167, max_false: 0.964265763759613, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9742372035980225, max_false: 0.967963457107544, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6869150400161743, max_false: 0.6728313565254211, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9659379124641418, max_false: 0.9606267809867859, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9274721145629883, max_false: 0.9463483095169067, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9624297618865967, max_false: 0.9686082601547241, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9788061380386353, max_false: 0.9734699130058289, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.7450670599937439, max_false: 0.7497432231903076, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9715279936790466, max_false: 0.972591757774353, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9762818813323975, max_false: 0.956005334854126, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8125956654548645, max_false: 0.7477752566337585, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9695192575454712, max_false: 0.8884872794151306, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9666648507118225, max_false: 0.9629946351051331, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9671843647956848, max_false: 0.9591161608695984, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9464941024780273, max_false: 0.9656609296798706, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9777323603630066, max_false: 0.9504918456077576, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9041703343391418, max_false: 0.8772740364074707, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.879677951335907, max_false: 0.9169328808784485, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9590253829956055, max_false: 0.9372504949569702, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9766280055046082, max_false: 0.9517444372177124, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.941092312335968, max_false: 0.9740657210350037, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.709346354007721, max_false: 0.7745321989059448, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9711235761642456, max_false: 0.916704535484314, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7813056111335754, max_false: 0.5610314011573792, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9405138492584229, max_false: 0.9658345580101013, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9578141570091248, max_false: 0.9041925072669983, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9255908727645874, max_false: 0.8996644020080566, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9234837293624878, max_false: 0.9399928450584412, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9408990740776062, max_false: 0.9389278888702393, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8972840905189514, max_false: 0.8659824728965759, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9809558987617493, max_false: 0.9468928575515747, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.9704686403274536, max_false: 0.9525948166847229, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9593389630317688, max_false: 0.9295979142189026, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9679287075996399, max_false: 0.9718466401100159, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9549692869186401, max_false: 0.9450793266296387, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9461380839347839, max_false: 0.9566566944122314, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9534260630607605, max_false: 0.8347151279449463, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9088396430015564, max_false: 0.9720872044563293, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9637067317962646, max_false: 0.9610192179679871, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9536344408988953, max_false: 0.9155254364013672, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9495304226875305, max_false: 0.9522425532341003, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7896469235420227, max_false: 0.7879201769828796, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9372464418411255, max_false: 0.9542519450187683, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9690390825271606, max_false: 0.9470512866973877, correct: True
in: torch.Size([195, 5120]), out: torch.Size([5120]), max_true: 0.9611971974372864, max_false: 0.9499067068099976, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9040711522102356, max_false: 0.8898259401321411, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9618042707443237, max_false: 0.9680036902427673, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9621526002883911, max_false: 0.9545865654945374, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.9732224345207214, max_false: 0.9753796458244324, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9536745548248291, max_false: 0.9681888818740845, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9267558455467224, max_false: 0.902324914932251, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.6935241222381592, max_false: 0.7313344478607178, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.760238766670227, max_false: 0.8106091618537903, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9694862961769104, max_false: 0.9658414721488953, correct: True
