experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7985562682151794, max_false: 0.7277895212173462, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8579866290092468, max_false: 0.5879121422767639, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9198125004768372, max_false: 0.8241845369338989, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.753727912902832, max_false: 0.7736235857009888, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.7793269753456116, max_false: 0.680584192276001, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.6902395486831665, max_false: 0.5993255376815796, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9035462737083435, max_false: 0.6395583152770996, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8110713362693787, max_false: 0.5850870609283447, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8986397981643677, max_false: 0.7921335697174072, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8267625570297241, max_false: 0.7087690830230713, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.6927536129951477, max_false: 0.764563262462616, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7269651889801025, max_false: 0.7685422897338867, correct: False
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.7778894305229187, max_false: 0.6412162184715271, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7382943630218506, max_false: 0.8357123732566833, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8822675347328186, max_false: 0.7307947278022766, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.6997117400169373, max_false: 0.8772264122962952, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.921195387840271, max_false: 0.6554915904998779, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8365160226821899, max_false: 0.6925450563430786, correct: True
