experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.801628828048706, max_false: 0.7895522117614746, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8608302474021912, max_false: 0.6086040139198303, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9084776639938354, max_false: 0.8768329620361328, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8024144768714905, max_false: 0.7637893557548523, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.7886791229248047, max_false: 0.6972172856330872, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.691338300704956, max_false: 0.5718425512313843, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8982821702957153, max_false: 0.7212641835212708, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8048322796821594, max_false: 0.6017956137657166, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8931218385696411, max_false: 0.8449383974075317, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8145169019699097, max_false: 0.7088997960090637, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.7019201517105103, max_false: 0.8060612678527832, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7803007364273071, max_false: 0.7400552034378052, correct: True
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.7917563319206238, max_false: 0.6513589024543762, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.759611964225769, max_false: 0.8549597859382629, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8515692353248596, max_false: 0.7960035800933838, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8364288806915283, max_false: 0.8725435733795166, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9017003774642944, max_false: 0.7215109467506409, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8861876726150513, max_false: 0.6754541397094727, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8905656337738037, max_false: 0.6409564018249512, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.7878881096839905, max_false: 0.7063798308372498, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7873609662055969, max_false: 0.793395459651947, correct: False
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.8680112361907959, max_false: 0.7748762965202332, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8242640495300293, max_false: 0.7951672077178955, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9269106388092041, max_false: 0.7697334885597229, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9064607620239258, max_false: 0.8001741766929626, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8155182600021362, max_false: 0.6869561672210693, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.88462895154953, max_false: 0.7967186570167542, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.867372989654541, max_false: 0.7230966687202454, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.873284637928009, max_false: 0.7767258882522583, correct: True
