----- test_seen_obj_seen_act -----
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.505054771900177, max_false: 0.451841801404953, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.5558095574378967, max_false: 0.24689294397830963, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.8364013433456421, max_false: 0.6893882751464844, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6449810266494751, max_false: 0.35828518867492676, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.5975622534751892, max_false: 0.4346100687980652, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.4183351695537567, max_false: 0.26728713512420654, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8028414249420166, max_false: 0.3239910900592804, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.4215434491634369, max_false: 0.24207550287246704, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6651685237884521, max_false: 0.5691544413566589, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.5495569705963135, max_false: 0.23960600793361664, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.5124041438102722, max_false: 0.49676600098609924, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.5056346654891968, max_false: 0.6692388653755188, correct: False
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.35277092456817627, max_false: 0.4961767792701721, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.35003113746643066, max_false: 0.6929706335067749, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.7107742428779602, max_false: 0.5738317370414734, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.588850200176239, max_false: 0.6649330854415894, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6141736507415771, max_false: 0.35557305812835693, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.5512597560882568, max_false: 0.27289819717407227, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6797844171524048, max_false: 0.2994423508644104, correct: True
