experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.5444614291191101, max_false: 0.45971864461898804, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.5476789474487305, max_false: 0.25768592953681946, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.8516986966133118, max_false: 0.7005347609519958, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6419281363487244, max_false: 0.37633076310157776, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.5942315459251404, max_false: 0.44391965866088867, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.42804911732673645, max_false: 0.2861706614494324, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7764003872871399, max_false: 0.34113359451293945, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.42899444699287415, max_false: 0.24354983866214752, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6710751056671143, max_false: 0.5595405697822571, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.5650869607925415, max_false: 0.2951143682003021, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.5027289986610413, max_false: 0.5215078592300415, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.520423173904419, max_false: 0.6571097373962402, correct: False
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.359403520822525, max_false: 0.4805210530757904, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.3654160499572754, max_false: 0.6511226892471313, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.7223678231239319, max_false: 0.5665702223777771, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.5852590799331665, max_false: 0.7229559421539307, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.6500328183174133, max_false: 0.3814767897129059, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.5580624938011169, max_false: 0.28164994716644287, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6574384570121765, max_false: 0.3032112121582031, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.5794323086738586, max_false: 0.2777579426765442, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.5238301753997803, max_false: 0.432935893535614, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.7345424890518188, max_false: 0.5005260705947876, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.6029607653617859, max_false: 0.41938117146492004, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8745261430740356, max_false: 0.22833998501300812, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.7970685958862305, max_false: 0.4999036490917206, correct: True
