experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9514999985694885, max_false: 0.9712283611297607, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.8945361375808716, max_false: 0.8910451531410217, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9846742749214172, max_false: 0.9759628772735596, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9579392075538635, max_false: 0.9623867273330688, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9289571642875671, max_false: 0.9139496684074402, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9211087226867676, max_false: 0.8948659896850586, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9742741584777832, max_false: 0.9541651010513306, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9407452344894409, max_false: 0.9240880608558655, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9638834595680237, max_false: 0.9508477449417114, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9717925190925598, max_false: 0.9690435528755188, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9456532597541809, max_false: 0.9455410242080688, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.965347409248352, max_false: 0.9714799523353577, correct: False
in: torch.Size([125, 5120]), out: torch.Size([5120]), max_true: 0.9530709385871887, max_false: 0.9421394467353821, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9626826047897339, max_false: 0.9729979634284973, correct: False
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.9543193578720093, max_false: 0.9622067809104919, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9623650312423706, max_false: 0.9488999843597412, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9520535469055176, max_false: 0.9347236752510071, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8938999176025391, max_false: 0.8650317788124084, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9679605960845947, max_false: 0.9527050256729126, correct: True
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9684334397315979, max_false: 0.9529705047607422, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9643346071243286, max_false: 0.9537805318832397, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), max_true: 0.9876914620399475, max_false: 0.9735189080238342, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9086961150169373, max_false: 0.8508636355400085, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9637253880500793, max_false: 0.9381417036056519, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9731679558753967, max_false: 0.9550861120223999, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.7682368755340576, max_false: 0.7195535898208618, correct: True
