experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9009349942207336, max_false: 0.8878536224365234, correct: True
in: torch.Size([167, 5120]), out: torch.Size([5120]), max_true: 0.8898471593856812, max_false: 0.8452640175819397, correct: True
in: torch.Size([89, 5120]), out: torch.Size([5120]), max_true: 0.8891453742980957, max_false: 0.9119374752044678, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8694956302642822, max_false: 0.8319114446640015, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9156298637390137, max_false: 0.891243577003479, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9394344687461853, max_false: 0.8830919861793518, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9279992580413818, max_false: 0.9235137701034546, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9012191295623779, max_false: 0.9180918335914612, correct: False
in: torch.Size([134, 5120]), out: torch.Size([5120]), max_true: 0.9061542749404907, max_false: 0.9054672718048096, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8922649025917053, max_false: 0.8707155585289001, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8752291202545166, max_false: 0.8692668676376343, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8678826093673706, max_false: 0.8837494850158691, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.9316005110740662, max_false: 0.9145342111587524, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9021357893943787, max_false: 0.8371607065200806, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9379652738571167, max_false: 0.8746337294578552, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9147112369537354, max_false: 0.8511823415756226, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.936306357383728, max_false: 0.918320894241333, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9068731665611267, max_false: 0.879356324672699, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8853464126586914, max_false: 0.8738285899162292, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9265698194503784, max_false: 0.9070181846618652, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8702565431594849, max_false: 0.8807339072227478, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8448000550270081, max_false: 0.8336799144744873, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9326748847961426, max_false: 0.9452481269836426, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8457496762275696, max_false: 0.8386328816413879, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9067198634147644, max_false: 0.9131209254264832, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8341505527496338, max_false: 0.8195324540138245, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.9351081848144531, max_false: 0.9326408505439758, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9457688927650452, max_false: 0.913004994392395, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.9144812226295471, max_false: 0.9035061597824097, correct: True
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8866533041000366, max_false: 0.8774022459983826, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8746083974838257, max_false: 0.9162395596504211, correct: False
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.8972629308700562, max_false: 0.9036223888397217, correct: False
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8953600525856018, max_false: 0.8817364573478699, correct: True
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8287787437438965, max_false: 0.7920777201652527, correct: True
in: torch.Size([139, 5120]), out: torch.Size([5120]), max_true: 0.796841561794281, max_false: 0.7152565121650696, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9007300138473511, max_false: 0.8858692646026611, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8390958905220032, max_false: 0.8455835580825806, correct: False
in: torch.Size([119, 5120]), out: torch.Size([5120]), max_true: 0.8843957185745239, max_false: 0.7959400415420532, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9462807774543762, max_false: 0.9483212232589722, correct: False
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9080560803413391, max_false: 0.8939886689186096, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.932502031326294, max_false: 0.914577841758728, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8502271175384521, max_false: 0.8366065621376038, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9170876741409302, max_false: 0.9268526434898376, correct: False
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.8526401519775391, max_false: 0.8360432982444763, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9406248331069946, max_false: 0.8929859399795532, correct: True
in: torch.Size([181, 5120]), out: torch.Size([5120]), max_true: 0.8496342301368713, max_false: 0.7968152165412903, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.93691086769104, max_false: 0.910264253616333, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.8932116031646729, max_false: 0.8753812313079834, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9422352910041809, max_false: 0.9107211232185364, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.892905592918396, max_false: 0.8787254691123962, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8969293832778931, max_false: 0.9053648710250854, correct: False
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8160873651504517, max_false: 0.7870125770568848, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.908940851688385, max_false: 0.9267443418502808, correct: False
in: torch.Size([104, 5120]), out: torch.Size([5120]), max_true: 0.8699780702590942, max_false: 0.8406246304512024, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9529301524162292, max_false: 0.8683539032936096, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9146780967712402, max_false: 0.8071093559265137, correct: True
in: torch.Size([164, 5120]), out: torch.Size([5120]), max_true: 0.8998321294784546, max_false: 0.8853124380111694, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.8753876090049744, max_false: 0.8720981478691101, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9041081666946411, max_false: 0.8744804263114929, correct: True
in: torch.Size([153, 5120]), out: torch.Size([5120]), max_true: 0.9077768325805664, max_false: 0.8708252906799316, correct: True
in: torch.Size([209, 5120]), out: torch.Size([5120]), max_true: 0.9171528816223145, max_false: 0.8785017132759094, correct: True
in: torch.Size([111, 5120]), out: torch.Size([5120]), max_true: 0.8914986252784729, max_false: 0.8425304889678955, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9280962347984314, max_false: 0.9439754486083984, correct: False
in: torch.Size([179, 5120]), out: torch.Size([5120]), max_true: 0.8728594779968262, max_false: 0.8548451066017151, correct: True
in: torch.Size([149, 5120]), out: torch.Size([5120]), max_true: 0.9244304895401001, max_false: 0.9318365454673767, correct: False
